date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,recovered
1/19/20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1/20/20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1/21/20,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1/22/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0
1/24/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/26/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
1/27/20,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,0
1/28/20,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0
1/29/20,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,2,0
1/30/20,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0
1/31/20,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,3,0
2/1/20,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0
2/2/20,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0
2/3/20,0,0,0,0,0,0,0,0,0,0,0,3,1,4,11,3,0
2/4/20,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,4,0
2/5/20,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,0,0
2/6/20,0,0,0,0,0,0,0,0,0,0,0,5,2,4,16,1,0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,5,0,4,16,0,0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,2,0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,0,0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,1,0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,5,0,5,20,1,0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,5,0,5,21,1,0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,6,1,5,22,1,0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,7,1,5,22,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,26,4,0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,28,2,0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,1,0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,29,0,0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,35,6,0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,36,1,0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,37,1,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,7,0,6,38,1,0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,8,1,6,38,0,0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,9,1,6,40,2,0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,10,1,6,41,1,0
2/26/20,2,2,0,0,0,0,0,0,0,0,0,12,2,6,41,0,0
2/27/20,2,0,0,0,0,0,0,0,0,0,0,13,1,7,6487,6446,0
2/28/20,4,2,0,0,0,0,0,0,0,0,0,15,2,7,6490,3,0
2/29/20,5,1,0,0,0,0,0,24,24,0,0,18,3,7,6552,62,0
3/1/20,8,3,0,0,0,0,0,85,61,0,0,42,24,10,6661,109,0
3/2/20,11,3,0,0,0,0,0,243,158,0,0,72,30,11,6873,212,0
3/3/20,14,3,0,0,0,0,0,452,209,0,0,114,42,14,7171,298,0
3/4/20,16,2,0,0,4,0,4,1388,936,0,0,240,126,24,8197,1026,0
3/5/20,20,4,0,0,1,0,5,2877,1489,0,0,305,65,30,9791,1594,0
3/6/20,26,6,0,0,1,0,6,4930,2053,0,0,437,132,39,12030,2239,0
3/7/20,27,1,0,0,0,0,6,5674,744,0,0,574,137,51,13011,981,0
3/8/20,31,4,0,0,0,0,6,6582,908,0,0,744,170,51,14184,1173,0
3/9/20,35,4,0,0,3,0,9,8353,1771,0,0,1020,276,51,16341,2157,0
3/10/20,37,2,0,0,0,0,9,11038,2685,0,0,1408,388,51,19562,3221,0
3/11/20,43,6,0,0,3,0,12,14953,3915,0,0,1828,420,51,24311,4749,0
3/12/20,51,8,0,0,5,0,17,20631,5678,0,0,2511,683,51,31313,7002,0
3/13/20,56,5,0,0,6,0,23,27445,6814,0,0,3354,843,51,41397,10084,0
3/14/20,64,8,0,0,4,0,27,33706,6261,0,0,4379,1025,51,51452,10055,0
3/15/20,79,15,0,0,10,0,37,40197,6491,0,0,5668,1289,51,61536,10084,0
3/16/20,100,21,0,0,6,0,43,60207,20010,0,0,7383,1715,56,86922,25386,0
3/17/20,124,24,0,0,33,325,76,78062,17855,0,0,9471,2088,56,113611,26689,0
3/18/20,152,28,0,0,18,416,94,99159,21097,0,0,12828,3357,56,146317,32706,0
3/19/20,203,51,0,0,34,617,128,126166,27007,0,0,17442,4614,56,185964,39647,0
3/20/20,273,70,0,0,44,1042,172,157496,31330,0,0,23544,6102,56,233760,47796,0
3/21/20,335,62,0,0,1849,1492,2021,201710,44214,0,0,30476,6932,56,289715,55955,0
3/22/20,480,145,0,0,962,2173,2983,236453,34743,0,0,39699,9223,56,340462,50747,0
3/23/20,581,101,0,0,950,2812,3933,283492,47039,0,0,50891,11192,56,400173,59711,0
3/24/20,817,236,0,0,1186,3938,5119,347736,64244,0,0,61773,10882,56,480215,80042,0
3/25/20,1058,241,74,0,1954,5140,7073,424012,76276,0,167,74404,12631,56,562847,82632,146
3/26/20,1371,313,91,1299,2449,7805,9522,506769,82757,0,258,92020,17616,56,668507,105660,97
3/27/20,1781,410,124,1792,2589,10887,12111,590051,83282,0,293,111274,19254,56,768256,99749,2418
3/28/20,2332,551,140,2174,2406,12393,14517,661255,71204,0,390,131045,19771,56,879193,110937,3145
3/29/20,2837,505,156,2456,2797,14055,17314,730003,68748,0,433,150709,19664,56,963465,84272,4076
3/30/20,3422,585,187,3087,2473,15892,19787,818111,88108,0,449,171911,21202,56,1065997,102532,4560
3/31/20,4330,908,230,3487,3995,18155,23782,906893,88782,0,506,196848,24937,56,1181328,115331,5666
4/1/20,5336,1006,256,3937,4148,20906,27930,994445,87552,32,561,223119,26271,56,1300869,119541,7084
4/2/20,6511,1175,305,4513,4164,22995,32094,1091594,97149,32,576,251182,28063,56,1427708,126839,8586
4/3/20,7798,1287,335,4928,4621,25723,36715,1196977,105383,39,623,283072,31890,56,1567434,139726,10861
4/4/20,9276,1478,403,5500,4993,30456,41708,1290132,93155,39,656,316130,33058,56,1799831,232397,12844
4/5/20,10618,1342,609,5811,3953,32180,45661,1379474,89342,39,650,342040,25910,56,1922157,122326,14589
4/6/20,11932,1314,663,7079,2962,36159,48623,1495559,116085,39,2961,370283,28243,56,2060620,138463,16557
4/7/20,13970,2038,738,9978,2931,43849,51554,1624724,129165,43,4047,400759,30476,56,2226071,165451,18481
4/8/20,15973,2003,862,10276,4387,45359,55941,1746679,121955,39,4142,431718,30959,56,2389599,163528,21132
4/9/20,18024,2051,918,12445,3829,51323,59770,1866706,120027,39,5798,466834,35116,56,2564727,175128,24835
4/10/20,20107,2083,1179,12693,4911,53167,64681,1986331,119625,39,5937,500442,33608,56,2723715,158988,29015
4/11/20,22182,2075,1399,13293,3735,55563,68416,2100445,114114,152,5986,531705,31263,56,2871593,147878,31567
4/12/20,23882,1700,1449,13597,3322,55294,71738,2211120,110675,158,5962,559820,28115,56,3010708,139115,34081
4/13/20,25515,1633,1622,13605,4491,56211,76229,2313156,102036,208,6170,584101,24281,56,3135874,125166,35381
4/14/20,27867,2352,1715,14047,3172,59610,79401,2435597,122441,221,5981,609975,25874,56,3294589,158715,39304
4/15/20,30412,2545,1783,14639,3502,59930,82903,2548873,113276,223,6033,639896,29921,56,3445808,151219,43448
4/16/20,32606,2194,1834,15136,3172,59496,86075,2688116,139243,176,5940,671423,31527,56,3627383,181575,48851
4/17/20,34724,2118,2052,14910,3366,58892,89441,2815406,127290,187,6098,703407,31984,56,3795588,168205,53562
4/18/20,36619,1895,2096,14764,3440,57799,92881,2939771,124365,205,5733,731357,27950,56,3963169,167581,62923
4/19/20,38382,1763,2145,14385,2177,56497,95058,3066565,126794,214,5603,758880,27523,56,4110248,147079,67227
4/20/20,40198,1816,2193,14463,2309,56721,97367,3182120,115555,214,5569,784847,25967,56,4255490,145242,69507
4/21/20,42249,2051,2315,14945,2736,59779,100103,3309599,127479,214,5514,810886,26039,56,4423105,167615,72870
4/22/20,44334,2085,2370,15016,3086,59207,103189,3606730,297131,227,5474,840062,29176,56,4765373,342268,92996
4/23/20,46143,1809,2428,14737,2820,59214,106009,3775469,168739,227,5463,872015,31953,56,4977349,211976,96947
4/24/20,48117,1974,2468,14623,2388,57370,108397,3978286,202817,227,5194,906241,34226,56,5217585,240236,103423
4/25/20,49746,1629,2516,14411,2297,57340,110694,4208914,230628,227,5266,941975,35734,56,5491401,273816,112603
4/26/20,50965,1219,2571,14093,2215,56161,112909,4383093,174179,227,5119,969289,27314,56,5693156,201755,116565
4/27/20,52255,1290,3720,13812,2245,56183,115154,4543456,160363,252,4867,991696,22407,56,5883916,190760,121464
