stateFips,totalHouseholds,householdIncomeLessThan10000USD,householdIncomeLessThan10000USDPct,householdIncome10000To14999USD,householdIncome10000To14999USDPct,householdIncome15000To24999USD,householdIncome15000To24999USDPct,householdIncome25000To34999USD,householdIncome25000To34999USDPct,householdIncome35000To49999USD,householdIncome35000To49999USDPct,householdIncome50000To74999USD,householdIncome50000To74999USDPct,householdIncome75000To99999USD,householdIncome75000To99999USDPct,householdIncome100000To149999USD,householdIncome100000To149999USDPct,householdIncome150000To199999USD,householdIncome150000To199999USDPct,householdIncomeMoreThan200000USD,householdIncomeMoreThan200000USDPct
29,2396271,158836,6.628465645,118404,4.941177354,249721,10.42123366,253361,10.57313634,343949,14.3535101,444753,18.56021293,300226,12.52888342,310792,12.96981852,111519,4.653855929,104710,4.369706098
30,423240,27058,6.393063038,22449,5.30408279,44803,10.58571969,46937,11.08992534,60900,14.38899915,80851,19.10287307,51580,12.18693885,53523,12.64601644,18200,4.300160665,16939,4.002220962
31,754063,40512,5.372495402,31484,4.175247957,69071,9.159844734,73534,9.751705096,104262,13.82669618,145890,19.34718982,103433,13.71675841,113583,15.06279979,38623,5.121985829,33671,4.465276774
32,1075930,66099,6.143429405,42870,3.984459956,98678,9.171414497,108508,10.08504271,151728,14.10203266,205861,19.13330793,143651,13.35133327,151648,14.09459723,56228,5.225990538,50659,4.70839181
33,528078,19962,3.780123391,17120,3.241945319,38761,7.340014165,41607,7.878949701,57524,10.89308776,92251,17.46919963,73982,14.00967281,97431,18.45011532,44900,8.502531823,44540,8.434360076
34,3213362,165332,5.145140821,106777,3.32290604,239248,7.445410757,228906,7.123567155,313308,9.75016198,479792,14.9311531,389646,12.12580469,563372,17.53216724,310244,9.654810133,416737,12.96887808
35,-888125635,-888820314,100.0782186,-888843137,100.0807883,-888797735,100.0756762,-888805705,100.0765736,-888785114,100.0742551,-888756055,100.0709832,-888802321,100.0761926,-888798538,100.0757666,-888856442,100.0822864,-888860266,100.082717
36,7316537,492408,6.730069157,378399,5.171831975,644450,8.808128764,602146,8.229931729,797884,10.90521376,1140869,15.59301894,868488,11.87020581,1124622,15.37096033,554471,7.578325648,712800,9.742313884
37,3918597,266502,6.800954525,212515,5.423242043,417530,10.65508905,420310,10.72603281,557478,14.22646932,708108,18.07044715,471985,12.04474459,488380,12.46313413,183853,4.691806787,191936,4.898079593
38,314903,18064,5.736369612,13227,4.200341057,25791,8.190141091,27910,8.863046716,39929,12.67977758,57047,18.11573723,45061,14.30948578,51850,16.46538775,18541,5.887844828,17483,5.551868353
39,4654075,333406,7.163743601,226269,4.861739443,476032,10.22828382,470357,10.10634766,639125,13.73258918,853816,18.34555739,586108,12.59343693,633373,13.60899857,226944,4.876242862,208645,4.483060544
40,1474620,104686,7.099184875,79794,5.411156773,162277,11.00466561,160741,10.90050318,211710,14.35691907,274820,18.63666572,179466,12.17032185,179436,12.16828742,62455,4.235328424,59235,4.016967083
41,1591835,95003,5.968143683,70503,4.429039442,148442,9.325212726,154663,9.716019562,207509,13.035836,292644,18.38406619,209965,13.19012335,231031,14.51350171,90895,5.710076735,91180,5.727980601
42,5025132,315702,6.282461834,227537,4.527980559,483563,9.622891498,475523,9.462895701,636924,12.67477153,900668,17.92327047,646375,12.86284619,739240,14.71085735,296797,5.906252811,302803,6.025772059
