10/11/2022 00:20:00,401834,4,101,N,ML,.225,40,0,64,.0119,65.7,10,6,.0083,72.2,0,10,24,.0133,68.8,0,10,21,.0172,64.1,0,10,13,.0087,59.7,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:20:00,404531,4,101,N,ML,.215,50,80,62,.0114,69.5,10,6,.0032,76.5,1,10,20,.0137,73.9,1,10,14,.0118,72.5,1,10,20,.0266,61.5,0,10,2,.0018,64.5,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:20:00,404532,4,101,N,ML,.37,50,80,68,.0133,69.4,10,5,.004,76.4,1,10,20,.0141,73.8,1,10,24,.0279,66,0,10,16,.0176,67.8,1,10,3,.0027,64.4,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:20:00,410094,4,101,N,FR,,10,0,,,,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:20:00,410095,4,101,N,OR,,20,0,,,,10,,,,0,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,401833,4,101,N,ML,.445,50,80,59,.0106,69.3,10,5,.0117,73,0,10,3,.0017,74.2,1,10,17,.0117,71.9,1,10,19,.0152,69.6,1,10,15,.0125,63.7,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,401834,4,101,N,ML,.225,40,0,63,.0114,65.7,10,6,.0078,72.2,0,10,24,.0126,68.7,0,10,20,.0165,64,0,10,13,.0086,59.7,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,404531,4,101,N,ML,.215,50,80,64,.0127,68.4,10,2,.0011,76.5,1,10,17,.0123,73.7,1,10,21,.021,71.1,1,10,22,.0275,61.5,0,10,2,.0018,64.4,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,404532,4,101,N,ML,.37,49,80,66,.0129,68.4,10,3,.0026,76.3,1,10,16,.0115,73.8,1,9,28,.0327,65,0,10,16,.0154,68.2,1,10,3,.0024,64.5,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,410094,4,101,N,FR,,10,0,,,,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:25:00,410095,4,101,N,OR,,20,0,,,,10,,,,0,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,401833,4,101,N,ML,.445,49,80,55,.0098,69.5,10,5,.0105,73,0,10,3,.0014,74.4,1,9,16,.012,71.5,1,10,20,.0158,69.3,1,10,11,.0093,64,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,401834,4,101,N,ML,.225,40,0,61,.0113,65.7,10,6,.0077,72,0,10,24,.0126,68.5,0,10,20,.0165,63.9,0,10,11,.0084,59.5,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,404531,4,101,N,ML,.215,50,80,59,.0118,68,10,1,.0005,76.6,1,10,15,.0106,73.7,1,10,18,.0174,71.1,1,10,21,.0267,61.5,0,10,4,.0036,64.3,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,404532,4,101,N,ML,.37,50,80,59,.0118,68.3,10,2,.0014,76.5,1,10,15,.0113,73.7,1,10,25,.0301,65,0,10,13,.0125,68.5,1,10,4,.0037,64.4,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,410094,4,101,N,FR,,10,0,,,,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:30:00,410095,4,101,N,OR,,20,0,,,,10,,,,0,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:35:00,401833,4,101,N,ML,.445,49,80,47,.0085,69.5,10,4,.0092,73,0,10,2,.0012,74.2,1,9,13,.0089,71.7,1,10,19,.014,69.6,1,10,9,.0094,63.7,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:35:00,401834,4,101,N,ML,.225,40,0,56,.0103,65.7,10,4,.0065,72.1,0,10,23,.0113,68.6,0,10,19,.0151,64,0,10,10,.0082,59.6,0,,,,,0,,,,,0,,,,,0,,,,,0
10/11/2022 00:35:00,404531,4,101,N,ML,.215,50,80,58,.0116,67.6,10,2,.0011,76.6,1,10,11,.0072,73.9,1,10,20,.0189,71.2,1,10,21,.028,60.7,0,10,4,.0029,64.5,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:35:00,404532,4,101,N,ML,.37,50,80,52,.012,67.1,10,2,.0016,76.5,1,10,11,.0072,74,1,10,27,.0297,65.1,0,10,8,.0186,63.3,1,10,4,.0027,64.7,1,,,,,0,,,,,0,,,,,0
10/11/2022 00:35:00,410094,4,101,N,FR,,10,0,,,,10,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
