"","X1","X2","X4","X5","X6","X8","X9","X10","X11","X12","X13","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X44","X45","X46","X47","X48","X49","X50","X51","X53","X54","X55","X56"
"1",1,0.000550814058495284,0.00439402623570373,0.00970973685996315,0.00945124262022958,0.0066466845190556,0.000932834301642733,0.000495482092801102,0.000728210428509534,0.21330535415068,0.270132410437906,0.000757525930333923,0.0011050941948416,0.0114123327643537,0.0090619979015613,0.00362814831054805,0.00512833362043316,0.0153918077370792,0.031028287162462,0.000653543594802971,0.00291209003450418,0.00158950989450387,0.0065429527433693,0.00218872376299127,0.113081959169185,0.00975475411205245,0.00132379117924947,0.00158687901613501,0.00310030223781261,0.000574826043607853,0.00255679617478637,0.00220150231506856,0.00564235714173857,0.021800627443611,0.000535655187893784,0.00976377426645995,0.00512916881991533,0.001305959670305,0.00570792030108941,0.000255571041545954,0.0160010857593268,0.00124962546523221,0.131304424991256,0.0368801123343304,0.00245519415777962,0.000219782743734699,0.0107918630690449,0.00215423002437738,0.00186023980665132,0.00340686220774543,0.00160759196329298
"2",0.0136436831174134,1,0.0632313207885193,0.00713379537912545,0.0916383877143316,0.0257676980412008,0.00191755253219009,0.00104887311239295,0.000928049595970328,0.0459327262993215,0.0185089128175002,0.0406102420844973,0.0243428138130444,0.0136613900120615,0.00762646368315908,0.00405383729238666,0.0105824735073609,0.00595472451196674,0.0164007507723331,0.00181651907449186,0.00406425311276792,0.00387051885367647,0.0142530086097171,0.0142967550553184,0.00640260478836095,0.0116323882017919,0.0178693814460908,0.00456942040125906,0.0285018508912818,0.0011946945977306,0.00397780180360346,0.00660987961394803,0.00925966431894075,0.013474946827237,0.00499126112670012,0.0101262605746616,0.0145404852522399,0.0559610781623993,0.00913884080251813,0.000632240297142524,0.00870033476446705,0.0032164053337333,0.013161430633761,0.0701890888032014,0.0218773891288,0.000820766646043342,0.0119490291413823,0.223561002335227,0.00175714889831868,0.00963671701674239,0.00496313841167072
"4",0.00499106031742079,0.00364627298567761,1,0.00602868153409948,0.283764429304255,0.0504929960567874,0.00172479887288933,0.000664575565717357,0.00104051132005323,0.027746770920847,0.0106870835425879,0.00758874451463937,0.0176081400724912,0.0271656378269179,0.0112239017181072,0.0141701027402108,0.0123748298081112,0.00444060678239085,0.00682894374799129,0.00139651277162618,0.00407348954860809,0.0035912869163464,0.0169808394297841,0.0214049948545044,0.00344129796172866,0.0160148779557513,0.0101787217695258,0.00914510223444267,0.0742587607370119,0.00106452140962643,0.0045566555486613,0.0483478724059377,0.0106896772251036,0.00985154724648365,0.00576812759910146,0.0130090963410031,0.0130781624011335,0.0231005962727893,0.00888795713932232,0.000595213084728123,0.00492703341189227,0.00633154954670952,0.0106170541146661,0.0743418326827266,0.0472934293055148,0.000501914619380426,0.00807465240763767,0.0329467338385975,0.00118434954184822,0.0150304642832503,0.0071275877633616
"5",0.0265752040089331,0.000505004081813568,0.00723114981436559,1,0.0132247853096856,0.0144960150091573,0.000632018058074016,0.000394121171188028,0.000509727141571536,0.0470825841531172,0.0170102087120107,0.000607094835043505,0.00145390311841837,0.0183191502270883,0.00893806361089544,0.0063159661581869,0.0200601427163334,0.00879128544610934,0.0608745726085059,0.0005105264286075,0.00192838896794968,0.0012146256448339,0.00543900295481885,0.00343039463344152,0.0522023809307552,0.155905950074352,0.00160634895491403,0.00369982702701917,0.00394804198291488,0.000342894138428522,0.00188006843350277,0.00491140084862484,0.00418404964589768,0.00848559448608205,0.000968372575299197,0.0075730266783847,0.11363267601663,0.00191131329036318,0.00465599230940546,0.000179766920634067,0.00572231387783915,0.00247669987462093,0.0962681651603134,0.244352655613011,0.00312194250001726,0.000243128583848662,0.00553375479980948,0.00282736889603564,0.00156892778913936,0.00371297893188367,0.0025404248501246
"6",0.00657286998827465,0.00276794479149466,0.154365421244346,0.00702237117459753,1,0.03368858282707,0.00290137049882285,0.000923794532794853,0.00188924775477023,0.0394892932911236,0.0169391697331545,0.0208641911667466,0.0253664736502568,0.0205666197438737,0.00959528648962204,0.00783137505835328,0.0133201038611382,0.00449674764194461,0.00846359151742627,0.00141181035628463,0.00599842548495201,0.00818052858457464,0.0105133824281422,0.00840414928404368,0.00399992192270833,0.0142523807842615,0.0100951252587047,0.00580801383487688,0.1631873364397,0.00168003729369697,0.0083504383954776,0.0168380360600496,0.0201148915207079,0.0147766514575334,0.0016770897449342,0.0120829521443188,0.0136269436873429,0.0603366179288387,0.0105830100800273,0.00107094271714084,0.00657070845251528,0.00288063940585801,0.0169749005742676,0.0864671289689481,0.044715133494811,0.000602511717652601,0.0118993526069399,0.0446378422161427,0.0010932785866543,0.00648031695712358,0.00762504664495917
"8",0.00874759576919938,0.00238267284523048,0.0647613891715889,0.00955586922828975,0.079830745840698,1,0.00244271232741531,0.000957772691996073,0.00133018348932685,0.0654558550715148,0.0173172865289755,0.00679017953280798,0.0113353804552579,0.0279199270672465,0.0108367115148994,0.0161990396449647,0.0438806533144146,0.0064412865049966,0.0104362638472396,0.0015878644620218,0.00597157670043849,0.00533373790045343,0.0139246407660706,0.0159881175316671,0.00533060219785084,0.0312340880385396,0.0143095021472646,0.0408072958576907,0.0264697568400972,0.00166219905901254,0.00559510793503378,0.0392224748717244,0.0119276593409583,0.0137323484152943,0.00565191948806888,0.0134493051421372,0.0238266362257577,0.0119452746114611,0.0102910992620493,0.000710605545674506,0.00808310349709233,0.0144035732253422,0.0147078286043403,0.134565725940515,0.0426130916505923,0.00077470299593327,0.0112380814480306,0.0174992495064727,0.00144777233692387,0.0111753673959788,0.05789816621345
"9",0.00238867865456319,0.00019301627147043,0.00421946897026696,0.000903119743857704,0.0122619694931411,0.00460924259175843,1,0.00371991807505609,0.00217532026847383,0.0669407552278942,0.00952770870746554,0.00121678579858524,0.000562798504457086,0.00544046348222163,0.00357460055510591,0.00202216986530831,0.00364147233419803,0.00177256978075994,0.0018797750629758,0.0225056271082293,0.0107485863107155,0.217133718890448,0.00675159460550502,0.00177783067247173,0.00106597356951386,0.00232753540200169,0.000748800253645126,0.000554614895127631,0.00204262888863195,0.0303793114615073,0.0523918176532846,0.000739915192087432,0.286520321129506,0.0163604379540369,0.000187521562349224,0.00914693705623648,0.00159720672370019,0.000953039760767379,0.0298459739506362,0.0988181348315106,0.0129145538828128,0.000524335540608648,0.00537441006406246,0.0108001430494911,0.00227960283307202,0.0259610976932393,0.0161573675339617,0.00190070172111826,0.00154331181083049,0.00181418927963545,0.0010829253316963
"10",0.00218211011976585,0.000268187464337349,0.0028493293363725,0.0013333552851344,0.00685567745063336,0.00263118331328065,0.00452192659982054,1,0.00680411960207739,0.036716770208402,0.00834652246644082,0.00056951925988925,0.000511679152475622,0.00360233388082858,0.0029901385866304,0.00182922047565798,0.00220182341480195,0.00177679610863889,0.00173260366701948,0.00210282368038986,0.3279798378484,0.00571122319046032,0.00352521373761041,0.000924358570539152,0.00113448929784709,0.00205451527607062,0.000468353229319345,0.000457738378146058,0.00193970157970648,0.00311296757877844,0.110609348781047,0.00116135137020398,0.0301834376260514,0.0200733334575343,0.000139726102178991,0.00866973385318664,0.00126620010424217,0.00055695474217393,0.303941315903603,0.00109657911508535,0.010575857842447,0.000285301203984079,0.00728200453449112,0.0078313772401127,0.00101534300916733,0.00125081940152169,0.0493820206950604,0.00145488449958775,0.0043804674607153,0.00127183247425249,0.000437591823878389
"11",0.00235589919438973,0.000208961231527504,0.00234850233663654,0.000807490304722801,0.0136582978412579,0.00335663240791451,0.00388365852282901,0.00797597007477915,1,0.0218071694660178,0.0100165782074393,0.000779443885741971,0.0004126830221465,0.00569064923145107,0.00224864475696853,0.000980700057109906,0.00225203498343874,0.00181716138803269,0.00275810333471922,0.00143899703540105,0.576782003198525,0.00862072950893186,0.00426582950674362,0.00120198938489272,0.00091505294455038,0.00193427830245813,0.000422237296744366,0.000510999589782597,0.00171607099873914,0.00112617159292256,0.0147064942253656,0.000672189448320775,0.0212200438818586,0.0171718052740212,0.000250876758795557,0.00586170156699349,0.00126948571189054,0.000814887162475987,0.0211090910155608,0.00124667873381822,0.00750719421467099,0.000245329115480668,0.00466895825429226,0.0112962345987405,0.000987172307643944,0.00176569158616677,0.198263834204365,0.00238517842299609,0.00460546855857741,0.00131818169209902,0.000340563659052937
"12",0.0728875274004641,0.00114105817873554,0.0104559525197758,0.00761089946521482,0.0267460677257301,0.0187080757223325,0.00898340277311134,0.00272401932496637,0.0023297764593818,1,0.154977431994159,0.00167168333888939,0.00202126094450951,0.0344313468983451,0.0256099931511708,0.00818183800562993,0.00790385584028807,0.0184955355329574,0.0236092281562312,0.00502382396768266,0.0143477964233726,0.0165817379404734,0.0335908023911567,0.00991592168413439,0.0160110099748826,0.0164649625017712,0.00264629381757931,0.00346788659057647,0.0083859318048284,0.0046952102556865,0.0257897772567585,0.00356126482657338,0.0519317994002455,0.0652683453254916,0.00120949499664858,0.0380835332546314,0.00721370855208938,0.00346535969268429,0.0305203406857327,0.00308618462564195,0.0384206401512096,0.00209112499178758,0.0516688382390404,0.0529427925291421,0.00612587900950844,0.00191447611136245,0.0300517181127479,0.00603980070075558,0.0055702188424599,0.0126641103194954,0.0027602615919569
