date,new_deaths,confirmed,people_tested,people_hospitalized,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15
2020-04-13,644.0,6716.0,16756.0,118.0,-0.025878760051317312,-0.03151231979867096,-0.04728364305778564,-0.027138244289748165,-0.03177727250486735,-0.036721457066858594,-0.029319102500510424,-0.03437383048560979,-0.014997019282634833,-0.1600984521212551,-0.2963719570785252,-0.01839935219829211,-0.23307848750369523,-0.015527250151225294,-0.01810993247936123,-0.25390174029039086
2020-04-14,785.0,7271.0,20786.0,3489.0,-0.026164269834905312,-0.03181922285000331,-0.047665215663003815,-0.027028510469821312,-0.032021904380962855,-0.0370684966299775,-0.02953942272538154,-0.034665980901213936,-0.015023918140708997,-0.16001926067802869,-0.29641167223019355,-0.018489029420010593,-0.2330418465481866,-0.015496700275615274,-0.018234606589951217,-0.25385793706020804
2020-04-15,758.0,11434.0,26869.0,0.0,-0.026298476013514087,-0.03196380195694038,-0.04784487396618958,-0.026975495247256412,-0.03213669235594994,-0.037231886780368935,-0.029643018753439224,-0.03480358708622264,-0.01503601914674275,-0.1599815077584051,-0.29643056302185666,-0.01853117811187936,-0.23302442295646694,-0.015481767856747649,-0.018293071781580763,-0.2538371979301434
2020-04-16,3263.0,9237.0,24567.0,4249.0,-0.026526734246913933,-0.03220935649706909,-0.04815006305762898,-0.026884909623870364,-0.03233172513097948,-0.0375096442119519,-0.029819111096411065,-0.035037227976533004,-0.01505658099359981,-0.15991712973303104,-0.2964623707998109,-0.018602837545664025,-0.23299454347054607,-0.015456536443540869,-0.018392409775904624,-0.2538017373776881
2020-04-17,2299.0,6906.0,0.0,1974.0,-0.026746477758631374,-0.03244609735736771,-0.0484442024961557,-0.026804938952585816,-0.032520951135531335,-0.037776369237846635,-0.029988598423406093,-0.035262042778171715,-0.015078668294469752,-0.15985630418357294,-0.2964903876723563,-0.018671803452826697,-0.23296525362313014,-0.015433717600928253,-0.01848890293554675,-0.2537663964125915
2020-04-18,503.0,11115.0,45953.0,1915.0,-0.02689817415781089,-0.0326090631488496,-0.04864687294046814,-0.02674515985379956,-0.032650680881890215,-0.03796100527832149,-0.030105774166430566,-0.035417617694366986,-0.015092369734331205,-0.1598134075830255,-0.2965109810898095,-0.01871946238316117,-0.2329450432373614,-0.01541703732620403,-0.01855498222880728,-0.25374239700331425
2020-04-19,637.0,6103.0,21023.0,1384.0,-0.02725104088722096,-0.03298716365767113,-0.049117332242706604,-0.026601747591690563,-0.03295136493756558,-0.038390628944310994,-0.030378260472304398,-0.03577900104051421,-0.015123003710330665,-0.15971263840789685,-0.2965593316713332,-0.018830310683678242,-0.23289764244765881,-0.01537781836710628,-0.018708082615058907,-0.25368659794081916
2020-04-20,327.0,5245.0,16306.0,1380.0,-0.02751804895624401,-0.03327360698198472,-0.0494734883497506,-0.026497770757900805,-0.03317973881405885,-0.03871485093858505,-0.030584071104803795,-0.03605163765195211,-0.01514798944355883,-0.15963675074051123,-0.29659356348533444,-0.018913995963536333,-0.23286087346643894,-0.015349348119883517,-0.01882447729828009,-0.2536431350714049
2020-04-21,439.0,5301.0,15464.0,0.0,-0.027742781236446485,-0.03351551268157383,-0.04977408524688588,-0.026406996071807864,-0.03337152677650499,-0.038988629986630795,-0.03075752864283145,-0.036282119996376656,-0.015167544057491995,-0.1595717329141782,-0.2966230688142866,-0.018984518039108757,-0.23282963620242828,-0.015323808183326891,-0.01892210811048131,-0.25360627624727666
2020-04-22,324.0,4931.0,20657.0,0.0,-0.028100609833841102,-0.03389981127012935,-0.050251834854812945,-0.026266774340391878,-0.03367751992562066,-0.03942371345448429,-0.031033555034612022,-0.036648241906249136,-0.015200321142888844,-0.15946889471746423,-0.2966677292878207,-0.019096752880755814,-0.2327791876582227,-0.015284775370281157,-0.019077978947269144,-0.2535465909364891
