State,Date,Confirmed,Deaths,Recovered,Active,Total_Test_Results,People_Hospitalized
Vermont,2020-09-23,1721,58,1557.0,106.0,157341.0,0.0
Virginia,2020-09-23,142010,3060,16979.0,121971.0,1911580.0,0.0
Washington,2020-09-23,84814,2051,0.0,0.0,1736556.0,0.0
Missouri,2020-09-23,119776,1896,0.0,0.0,1241749.0,0.0
Wyoming,2020-09-23,5016,49,4230.0,737.0,94840.0,0.0
Minnesota,2020-09-23,91422,2031,82833.0,6558.0,1863694.0,0.0
Michigan,2020-09-23,130357,6997,90216.0,33144.0,3390878.0,0.0
Alabama,2020-09-23,145859,2457,61232.0,82170.0,1767124.0,0.0
Alaska,2020-09-23,6982,45,2668.0,4269.0,431191.0,0.0
American Samoa,2020-09-23,0,0,0.0,0.0,1571.0,0.0
Arizona,2020-09-23,214846,5498,34053.0,175295.0,2063747.0,0.0
Arkansas,2020-09-23,76981,1209,69184.0,6588.0,897997.0,0.0
California,2020-09-23,794418,15037,0.0,0.0,13804055.0,0.0
Colorado,2020-09-23,66053,2025,6306.0,57722.0,1219137.0,0.0
Connecticut,2020-09-23,56160,4496,9204.0,42460.0,1479824.0,0.0
Delaware,2020-09-23,19761,638,10411.0,8712.0,274837.0,0.0
District of Columbia,2020-09-23,15021,621,11886.0,2514.0,361633.0,0.0
Florida,2020-09-23,687909,13416,0.0,0.0,9341966.0,0.0
West Virginia,2020-09-23,14394,320,10524.0,3550.0,522669.0,0.0
Georgia,2020-09-23,308294,6673,0.0,0.0,2783427.0,0.0
Hawaii,2020-09-23,11522,120,4888.0,6514.0,282580.0,0.0
Idaho,2020-09-23,38347,451,20485.0,17411.0,290911.0,0.0
Illinois,2020-09-23,279453,8722,0.0,0.0,5187414.0,0.0
Indiana,2020-09-23,112626,3514,89072.0,20040.0,1315440.0,0.0
Iowa,2020-09-23,81618,1293,59216.0,21109.0,725082.0,0.0
Kansas,2020-09-23,56186,615,1970.0,53601.0,484691.0,0.0
Kentucky,2020-09-23,62731,1119,11361.0,50251.0,1068466.0,0.0
Louisiana,2020-09-23,162214,5388,145570.0,11256.0,2206974.0,0.0
Maine,2020-09-23,5146,140,4407.0,599.0,375432.0,0.0
Maryland,2020-09-23,120912,3895,7394.0,109623.0,1544014.0,0.0
Massachusetts,2020-09-23,127969,9328,109397.0,9244.0,3476679.0,0.0
Guam,2020-09-23,2190,37,1507.0,646.0,46828.0,0.0
Wisconsin,2020-09-23,104170,1251,88131.0,14788.0,1458819.0,0.0
Wisconsin,2020-09-24,105932,1259,89393.0,15280.0,1472405.0,0.0
Alabama,2020-09-24,146897,2488,64583.0,79826.0,1782313.0,0.0
West Virginia,2020-09-24,14515,322,10721.0,3472.0,525580.0,0.0
Georgia,2020-09-24,310161,6769,0.0,0.0,2803215.0,0.0
Michigan,2020-09-24,131259,7013,90216.0,34030.0,3425107.0,0.0
Massachusetts,2020-09-24,128512,9347,109397.0,9768.0,3476679.0,0.0
Maryland,2020-09-24,121297,3902,7396.0,109999.0,1552105.0,0.0
Maine,2020-09-24,5170,140,4445.0,585.0,386035.0,0.0
Louisiana,2020-09-24,162645,5407,149640.0,7598.0,2220009.0,0.0
Kentucky,2020-09-24,63515,1124,11480.0,50911.0,1216779.0,0.0
Kansas,2020-09-24,56546,622,2008.0,53916.0,492281.0,0.0
Iowa,2020-09-24,82871,1298,60350.0,21223.0,731853.0,0.0
Indiana,2020-09-24,113337,3531,90069.0,19737.0,1322819.0,0.0
Illinois,2020-09-24,281303,8744,0.0,0.0,5233805.0,0.0
Minnesota,2020-09-24,92100,2037,83507.0,6556.0,1873867.0,0.0
Idaho,2020-09-24,38743,454,20674.0,17615.0,292159.0,0.0
Guam,2020-09-24,2235,37,1543.0,655.0,47251.0,0.0
Florida,2020-09-24,690499,13618,0.0,0.0,9414058.0,0.0
District of Columbia,2020-09-24,15050,621,11929.0,2500.0,363448.0,0.0
Delaware,2020-09-24,19830,640,10443.0,8747.0,276044.0,0.0
Connecticut,2020-09-24,56315,4497,9204.0,42614.0,1489898.0,0.0
Colorado,2020-09-24,66669,2030,6332.0,58307.0,1232288.0,0.0
California,2020-09-24,797784,15150,0.0,0.0,13879423.0,0.0
Arkansas,2020-09-24,77963,1229,69952.0,6782.0,906947.0,0.0
Arizona,2020-09-24,215284,5525,34227.0,175532.0,2085450.0,0.0
American Samoa,2020-09-24,0,0,0.0,0.0,1571.0,0.0
Hawaii,2020-09-24,11689,122,4992.0,6575.0,284069.0,0.0
Alaska,2020-09-24,7050,45,2731.0,4274.0,433198.0,0.0
Wyoming,2020-09-24,5169,50,4277.0,842.0,94993.0,0.0
Missouri,2020-09-24,121418,1967,0.0,0.0,1244563.0,0.0
Washington,2020-09-24,85397,2057,0.0,0.0,1740899.0,0.0
Virginia,2020-09-24,142590,3089,17038.0,122463.0,1922606.0,0.0
Vermont,2020-09-24,1722,58,1565.0,99.0,157263.0,0.0
Utah,2020-09-24,65921,444,52357.0,13120.0,775858.0,0.0
Texas,2020-09-24,757254,15644,618054.0,114247.0,5740674.0,0.0
Tennessee,2020-09-24,186798,2277,169649.0,14872.0,2713343.0,0.0
South Dakota,2020-09-24,19634,202,16324.0,3108.0,180132.0,0.0
South Carolina,2020-09-24,141686,3262,67491.0,70933.0,1190584.0,0.0
Rhode Island,2020-09-24,24177,1118,2275.0,20784.0,706578.0,0.0
Puerto Rico,2020-09-24,42660,617,0.0,0.0,671325.0,0.0
Mississippi,2020-09-24,94573,2870,85327.0,6376.0,716711.0,0.0
Pennsylvania,2020-09-24,157209,8042,123560.0,25607.0,2858086.0,0.0
Oklahoma,2020-09-24,80161,970,66779.0,12412.0,1114326.0,0.0
Ohio,2020-09-24,146753,4342,126023.0,16388.0,2931199.0,0.0
North Dakota,2020-09-24,18981,203,15476.0,3302.0,575479.0,0.0
North Carolina,2020-09-24,196500,3316,176422.0,16762.0,2842427.0,0.0
New York,2020-09-24,454299,33098,76306.0,344895.0,10135692.0,0.0
New Mexico,2020-09-24,27987,857,15586.0,11544.0,872331.0,0.0
New Jersey,2020-09-24,205771,16082,34729.0,154960.0,3422747.0,0.0
New Hampshire,2020-09-24,8007,438,7303.0,266.0,413391.0,0.0
Nevada,2020-09-24,76807,1556,2059.0,73192.0,671924.0,0.0
Nebraska,2020-09-24,42278,462,31212.0,10604.0,431102.0,0.0
Montana,2020-09-24,10912,165,8510.0,2237.0,317160.0,0.0
Oregon,2020-09-24,31503,538,5475.0,25490.0,646125.0,0.0
Washington,2020-09-25,86422,2063,0.0,0.0,1743296.0,0.0
Wyoming,2020-09-25,5305,50,4364.0,891.0,96640.0,0.0
Virginia,2020-09-25,143492,3113,17099.0,123280.0,1952965.0,0.0
Wisconsin,2020-09-25,108324,1265,90726.0,16333.0,1485770.0,0.0
Mississippi,2020-09-25,95310,2874,85327.0,7109.0,721759.0,0.0
Missouri,2020-09-25,122841,1980,0.0,0.0,1259531.0,0.0
Montana,2020-09-25,11242,165,8634.0,2443.0,321518.0,0.0
Nebraska,2020-09-25,42731,462,31383.0,10886.0,434369.0,0.0
Nevada,2020-09-25,77197,1564,2062.0,73571.0,675488.0,0.0
New Hampshire,2020-09-25,8044,438,7325.0,281.0,417689.0,0.0
New Jersey,2020-09-25,206076,16091,34650.0,155335.0,3451804.0,0.0
New Mexico,2020-09-25,28224,859,15669.0,11696.0,878406.0,0.0
New York,2020-09-25,455400,33103,76382.0,345915.0,10228645.0,0.0
Alabama,2020-09-25,149263,2506,64583.0,82174.0,1799504.0,0.0
North Dakota,2020-09-25,19451,211,15757.0,3483.0,582104.0,0.0
Ohio,2020-09-25,147744,4360,127239.0,16145.0,2955715.0,0.0
Oklahoma,2020-09-25,81244,981,67807.0,12456.0,1126926.0,0.0
Oregon,2020-09-25,31865,539,5484.0,25842.0,650498.0,0.0
Pennsylvania,2020-09-25,158133,8059,125785.0,24289.0,2888164.0,0.0
Puerto Rico,2020-09-25,43842,627,0.0,0.0,678593.0,0.0
Rhode Island,2020-09-25,24311,1119,2278.0,20914.0,717047.0,0.0
South Carolina,2020-09-25,142707,3279,68079.0,71349.0,1207106.0,0.0
South Dakota,2020-09-25,20097,210,16596.0,3291.0,181661.0,0.0
Tennessee,2020-09-25,187690,2312,171153.0,14225.0,2729388.0,0.0
Texas,2020-09-25,763067,15782,642169.0,94860.0,5860833.0,0.0
Utah,2020-09-25,67119,444,52860.0,13815.0,784975.0,0.0
Vermont,2020-09-25,1724,58,1566.0,100.0,158189.0,0.0
Minnesota,2020-09-25,93012,2040,83862.0,7110.0,1895302.0,0.0
Michigan,2020-09-25,132337,7019,90216.0,35102.0,3462824.0,0.0
North Carolina,2020-09-25,198187,3356,176422.0,18409.0,2870191.0,0.0
Maryland,2020-09-25,121800,3909,7416.0,110475.0,1561579.0,0.0
Massachusetts,2020-09-25,128993,9362,111479.0,8152.0,3642716.0,0.0
Alaska,2020-09-25,7178,46,2731.0,4401.0,433198.0,0.0
West Virginia,2020-09-25,14719,328,10831.0,3560.0,529025.0,0.0
American Samoa,2020-09-25,0,0,0.0,0.0,1571.0,0.0
Arizona,2020-09-25,215852,5559,34393.0,175900.0,2105548.0,0.0
Arkansas,2020-09-25,79049,1246,70737.0,7066.0,917413.0,0.0
California,2020-09-25,801406,15250,0.0,0.0,13952857.0,0.0
Colorado,2020-09-25,67217,2033,6351.0,58833.0,1245745.0,0.0
Connecticut,2020-09-25,56472,4499,9310.0,42663.0,1505473.0,0.0
Delaware,2020-09-25,19947,642,10487.0,8818.0,277916.0,0.0
District of Columbia,2020-09-25,15106,621,11956.0,2529.0,367867.0,0.0
Hawaii,2020-09-25,11779,124,5125.0,6530.0,286785.0,0.0
Georgia,2020-09-25,311698,6816,0.0,0.0,2824816.0,0.0
Florida,2020-09-25,693040,13795,0.0,0.0,9483865.0,0.0
Maine,2020-09-25,5214,140,4478.0,596.0,399966.0,0.0
Kentucky,2020-09-25,64158,1137,11570.0,51451.0,1226385.0,0.0
Kansas,2020-09-25,57653,622,2008.0,55023.0,492281.0,0.0
Iowa,2020-09-25,83991,1303,61509.0,21179.0,738580.0,0.0
Louisiana,2020-09-25,163222,5423,149640.0,8159.0,2237534.0,0.0
Illinois,2020-09-25,283559,8774,0.0,0.0,5295876.0,0.0
Idaho,2020-09-25,39234,457,20901.0,17876.0,294063.0,0.0
Guam,2020-09-25,2263,38,1568.0,657.0,47687.0,0.0
Indiana,2020-09-25,114236,3544,90979.0,19713.0,1331608.0,0.0
Nebraska,2020-09-26,43162,468,31774.0,10920.0,437304.0,0.0
Ohio,2020-09-26,148894,4384,128369.0,16141.0,2995593.0,0.0
Montana,2020-09-26,11564,170,8681.0,2713.0,326116.0,0.0
Nevada,2020-09-26,77753,1573,2075.0,74105.0,681336.0,0.0
New Hampshire,2020-09-26,8085,438,7325.0,322.0,417689.0,0.0
New Jersey,2020-09-26,207038,16097,34650.0,156291.0,3478711.0,0.0
New Mexico,2020-09-26,28487,865,15825.0,11797.0,885373.0,0.0
New York,2020-09-26,456400,33117,76456.0,346827.0,10323463.0,0.0
North Carolina,2020-09-26,204330,3409,176422.0,24499.0,2903054.0,0.0
North Dakota,2020-09-26,19885,219,16104.0,3562.0,587564.0,0.0
Oklahoma,2020-09-26,82520,993,68911.0,12616.0,1140664.0,0.0
South Dakota,2020-09-26,20554,216,16831.0,3507.0,183947.0,0.0
Pennsylvania,2020-09-26,159144,8070,126446.0,24628.0,2921327.0,0.0
Puerto Rico,2020-09-26,44905,635,0.0,0.0,685766.0,0.0
Rhode Island,2020-09-26,24181,1120,2278.0,20783.0,727469.0,0.0
South Carolina,2020-09-26,143902,3297,68854.0,71751.0,1226467.0,0.0
Tennessee,2020-09-26,189454,2352,172618.0,14484.0,2762845.0,0.0
Texas,2020-09-26,766009,15884,646143.0,94775.0,5913449.0,0.0
Utah,2020-09-26,68530,448,53360.0,14722.0,795217.0,0.0
Vermont,2020-09-26,1731,58,1576.0,97.0,159279.0,0.0
Virginia,2020-09-26,144433,3136,17185.0,124112.0,1973499.0,0.0
Wyoming,2020-09-26,5420,50,4450.0,920.0,97826.0,0.0
Missouri,2020-09-26,124836,2020,0.0,0.0,1273165.0,0.0
Oregon,2020-09-26,32314,542,5490.0,26282.0,662906.0,0.0
Washington,2020-09-26,87062,2070,0.0,0.0,1783279.0,0.0
Alabama,2020-09-26,150239,2491,64583.0,83165.0,1814962.0,0.0
Minnesota,2020-09-26,94189,2046,84256.0,7887.0,1924020.0,0.0
Wisconsin,2020-09-26,110828,1274,92366.0,17188.0,1500974.0,0.0
Alaska,2020-09-26,7300,52,3042.0,4206.0,441332.0,0.0
American Samoa,2020-09-26,0,0,0.0,0.0,1571.0,0.0
Arizona,2020-09-26,216367,5587,34564.0,176216.0,2123314.0,0.0
Arkansas,2020-09-26,79946,1266,71426.0,7254.0,926294.0,0.0
California,2020-09-26,805663,15360,0.0,0.0,14052247.0,0.0
Colorado,2020-09-26,67926,2034,6384.0,59508.0,1260861.0,0.0
Connecticut,2020-09-26,56587,4501,9310.0,42776.0,1519151.0,0.0
Delaware,2020-09-26,20085,643,10517.0,8925.0,279374.0,0.0
District of Columbia,2020-09-26,15163,623,11990.0,2550.0,373586.0,0.0
Florida,2020-09-26,695887,13915,0.0,0.0,9547845.0,0.0
Georgia,2020-09-26,312514,6874,0.0,0.0,2847494.0,0.0
Guam,2020-09-26,2286,39,1668.0,579.0,48256.0,0.0
Hawaii,2020-09-26,11891,127,5265.0,6499.0,286875.0,0.0
Idaho,2020-09-26,39757,458,21105.0,18194.0,296412.0,0.0
Illinois,2020-09-26,286332,8807,0.0,0.0,5365960.0,0.0
Indiana,2020-09-26,115407,3557,91866.0,19984.0,1341462.0,0.0
Iowa,2020-09-26,85031,1312,62648.0,21071.0,744981.0,0.0
Kansas,2020-09-26,58061,636,2039.0,55386.0,502770.0,0.0
Kentucky,2020-09-26,65066,1149,11677.0,52240.0,1244628.0,0.0
Louisiana,2020-09-26,163928,5444,149640.0,8844.0,2256065.0,0.0
Maine,2020-09-26,5234,140,4507.0,587.0,406394.0,0.0
Maryland,2020-09-26,122359,3917,7431.0,111011.0,1572484.0,0.0
Massachusetts,2020-09-26,129481,9373,111479.0,8629.0,3706728.0,0.0
Michigan,2020-09-26,133377,7027,90216.0,36134.0,3502312.0,0.0
Mississippi,2020-09-26,96032,2894,85327.0,7811.0,726386.0,0.0
West Virginia,2020-09-26,14962,335,10968.0,3659.0,535394.0,0.0
Alabama,2020-09-27,150965,2501,64583.0,83881.0,1825118.0,0.0
American Samoa,2020-09-27,0,0,0.0,0.0,1571.0,0.0
Michigan,2020-09-27,134373,7044,95051.0,32278.0,3543057.0,0.0
Massachusetts,2020-09-27,130050,9391,111479.0,9180.0,3780020.0,0.0
Maryland,2020-09-27,122972,3925,7458.0,111589.0,1584300.0,0.0
Maine,2020-09-27,5258,140,4538.0,580.0,406419.0,0.0
Louisiana,2020-09-27,163928,5444,149640.0,8844.0,2256065.0,0.0
Kentucky,2020-09-27,66036,1154,11750.0,53132.0,1274688.0,0.0
Kansas,2020-09-27,58065,636,2039.0,55390.0,502770.0,0.0
Iowa,2020-09-27,85908,1314,65490.0,19104.0,750898.0,0.0
Indiana,2020-09-27,116549,3581,92306.0,20662.0,1350390.0,0.0
Illinois,2020-09-27,288773,8832,0.0,0.0,5431177.0,0.0
Minnesota,2020-09-27,95659,2056,85259.0,8344.0,1954715.0,0.0
Idaho,2020-09-27,40296,460,21291.0,18545.0,298652.0,0.0
Guam,2020-09-27,2286,39,1668.0,579.0,48719.0,0.0
Georgia,2020-09-27,313873,6914,0.0,0.0,2872355.0,0.0
Florida,2020-09-27,698682,14022,0.0,0.0,9594356.0,0.0
District of Columbia,2020-09-27,15215,624,12029.0,2562.0,377979.0,0.0
Delaware,2020-09-27,20156,646,10541.0,8969.0,280399.0,0.0
Connecticut,2020-09-27,56587,4501,9310.0,42776.0,1519151.0,0.0
Colorado,2020-09-27,68510,2040,6404.0,60066.0,1277613.0,0.0
California,2020-09-27,809705,15434,0.0,0.0,14182730.0,0.0
Arkansas,2020-09-27,80755,1285,72051.0,7419.0,933895.0,0.0
Arizona,2020-09-27,216826,5622,34730.0,176474.0,2139926.0,0.0
Hawaii,2020-09-27,12018,131,5397.0,6490.0,289967.0,0.0
Mississippi,2020-09-27,96677,2911,85327.0,8439.0,730713.0,0.0
Missouri,2020-09-27,126910,2083,0.0,0.0,1289169.0,0.0
Montana,2020-09-27,11907,171,8749.0,2987.0,329285.0,0.0
West Virginia,2020-09-27,15167,337,11121.0,3709.0,542291.0,0.0
Washington,2020-09-27,87519,2074,0.0,0.0,1801021.0,0.0
Virginia,2020-09-27,145408,3144,17255.0,125009.0,1993344.0,0.0
Vermont,2020-09-27,1739,58,1580.0,101.0,160276.0,0.0
Utah,2020-09-27,69547,448,53806.0,15293.0,805079.0,0.0
Texas,2020-09-27,767586,15987,649580.0,94714.0,5994813.0,0.0
Tennessee,2020-09-27,190891,2374,174044.0,14473.0,2789879.0,0.0
South Dakota,2020-09-27,21133,218,17173.0,3742.0,186134.0,0.0
South Carolina,2020-09-27,145273,3323,69629.0,72321.0,1242797.0,0.0
Rhode Island,2020-09-27,24181,1121,2278.0,20782.0,727469.0,0.0
Puerto Rico,2020-09-27,45413,642,0.0,0.0,692759.0,0.0
Pennsylvania,2020-09-27,160067,8088,127290.0,24689.0,2952033.0,0.0
Oregon,2020-09-27,32581,542,5490.0,26549.0,668671.0,0.0
Oklahoma,2020-09-27,83510,1004,69754.0,12752.0,1158985.0,0.0
Ohio,2020-09-27,150009,4396,129498.0,16115.0,3033987.0,0.0
North Dakota,2020-09-27,20380,227,16481.0,3672.0,594628.0,0.0
North Carolina,2020-09-27,206060,3440,176422.0,26198.0,2947803.0,0.0
New York,2020-09-27,457573,33120,76528.0,347925.0,10423416.0,0.0
New Mexico,2020-09-27,28692,870,16020.0,11802.0,893489.0,0.0
New Jersey,2020-09-27,207854,16103,34650.0,157101.0,3512568.0,0.0
New Hampshire,2020-09-27,8121,439,7379.0,303.0,422591.0,0.0
Nevada,2020-09-27,78355,1582,2075.0,74698.0,685678.0,0.0
Nebraska,2020-09-27,43596,469,32238.0,10889.0,440645.0,0.0
Wyoming,2020-09-27,5465,50,4479.0,936.0,97871.0,0.0
Alaska,2020-09-27,7414,52,3267.0,4095.0,442869.0,0.0
Wisconsin,2020-09-27,113645,1281,94094.0,18270.0,1513643.0,0.0
West Virginia,2020-09-28,15351,339,11160.0,3852.0,549723.0,0.0
Massachusetts,2020-09-28,130642,9404,111479.0,9759.0,3881846.0,0.0
Maryland,2020-09-28,123403,3935,7463.0,112005.0,1594363.0,0.0
Maine,2020-09-28,5287,140,4567.0,580.0,421196.0,0.0
Louisiana,2020-09-28,164851,5465,149640.0,9746.0,2283149.0,0.0
Kentucky,2020-09-28,66491,1157,11750.0,53584.0,1274688.0,0.0
Kansas,2020-09-28,59528,636,2039.0,56853.0,502770.0,0.0
Iowa,2020-09-28,86624,1316,65838.0,19470.0,754623.0,0.0
Indiana,2020-09-28,117450,3593,92552.0,21305.0,1358860.0,0.0
Illinois,2020-09-28,290373,8845,0.0,0.0,5481999.0,0.0
Idaho,2020-09-28,40501,460,21468.0,18573.0,301206.0,0.0
Hawaii,2020-09-28,12116,132,10126.0,1858.0,291657.0,0.0
Guam,2020-09-28,2286,39,1668.0,579.0,48719.0,0.0
Georgia,2020-09-28,314685,6946,0.0,0.0,2886269.0,0.0
Florida,2020-09-28,700564,14032,0.0,0.0,9618112.0,0.0
District of Columbia,2020-09-28,15250,624,12037.0,2589.0,381159.0,0.0
Delaware,2020-09-28,20260,646,10557.0,9057.0,282024.0,0.0
Connecticut,2020-09-28,56587,4501,9310.0,42776.0,1519151.0,0.0
Colorado,2020-09-28,69079,2041,6424.0,60614.0,1295655.0,0.0
California,2020-09-28,812527,15453,0.0,0.0,14333498.0,0.0
Arkansas,2020-09-28,81242,1308,72602.0,7332.0,940627.0,0.0
Arizona,2020-09-28,217237,5623,34872.0,176742.0,2148819.0,0.0
American Samoa,2020-09-28,0,0,0.0,0.0,1571.0,0.0
Wyoming,2020-09-28,5633,50,4519.0,1064.0,98039.0,0.0
Michigan,2020-09-28,134373,7044,95051.0,32278.0,3543057.0,0.0
Alabama,2020-09-28,151604,2501,64583.0,84520.0,1831325.0,0.0
Minnesota,2020-09-28,96734,2060,86252.0,8422.0,1981100.0,0.0
Mississippi,2020-09-28,96859,2919,85327.0,8613.0,730895.0,0.0
Washington,2020-09-28,87897,2081,0.0,0.0,1820623.0,0.0
Virginia,2020-09-28,146144,3159,17443.0,125542.0,2003129.0,0.0
Vermont,2020-09-28,1742,58,1584.0,100.0,160990.0,0.0
Utah,2020-09-28,70615,453,54201.0,15961.0,811249.0,0.0
Texas,2020-09-28,768768,16029,652376.0,96598.0,6016907.0,0.0
Tennessee,2020-09-28,192995,2377,175143.0,15475.0,2832536.0,0.0
South Dakota,2020-09-28,21541,218,17533.0,3790.0,187504.0,0.0
South Carolina,2020-09-28,145887,3326,70028.0,72533.0,1252538.0,0.0
Rhode Island,2020-09-28,24181,1121,2278.0,20782.0,727469.0,0.0
Puerto Rico,2020-09-28,46304,644,0.0,0.0,694829.0,0.0
Pennsylvania,2020-09-28,160976,8091,127290.0,25595.0,2981779.0,0.0
Wisconsin,2020-09-28,115862,1281,95513.0,19068.0,1521696.0,0.0
Oregon,2020-09-28,32820,543,5490.0,26787.0,671490.0,0.0
Ohio,2020-09-28,150809,4413,130193.0,16203.0,3071187.0,0.0
North Dakota,2020-09-28,20724,231,16727.0,3766.0,600067.0,0.0
North Carolina,2020-09-28,207349,3441,176422.0,27486.0,2978728.0,0.0
New York,2020-09-28,458605,33127,76595.0,348883.0,10508186.0,0.0
New Mexico,2020-09-28,28844,870,16211.0,11763.0,899937.0,0.0
New Jersey,2020-09-28,208617,16106,34650.0,157861.0,3513266.0,0.0
New Hampshire,2020-09-28,8172,439,7379.0,354.0,422591.0,0.0
Nevada,2020-09-28,78728,1585,2075.0,75068.0,688956.0,0.0
Nebraska,2020-09-28,44063,470,32584.0,11009.0,445129.0,0.0
Montana,2020-09-28,12107,173,8779.0,3155.0,330307.0,0.0
Missouri,2020-09-28,128440,2082,0.0,0.0,1298106.0,0.0
Oklahoma,2020-09-28,84333,1006,69754.0,13573.0,1158985.0,0.0
Alaska,2020-09-28,7528,56,3502.0,3970.0,442869.0,0.0
Maine,2020-09-29,5300,140,4599.0,561.0,423396.0,0.0
West Virginia,2020-09-29,15516,342,11188.0,3986.0,553270.0,0.0
Missouri,2020-09-29,129733,2086,0.0,0.0,1302958.0,0.0
Montana,2020-09-29,12413,174,8839.0,3400.0,337196.0,0.0
Nebraska,2020-09-29,44578,472,32824.0,11282.0,448361.0,0.0
Nevada,2020-09-29,79191,1585,2080.0,75526.0,692673.0,0.0
New Hampshire,2020-09-29,8208,439,7430.0,339.0,432396.0,0.0
New Jersey,2020-09-29,209278,16107,34805.0,158366.0,3566304.0,0.0
New Mexico,2020-09-29,28985,873,16301.0,11811.0,905329.0,0.0
New York,2020-09-29,459574,33136,76649.0,349789.0,10561122.0,0.0
North Carolina,2020-09-29,208226,3445,184422.0,20359.0,3004533.0,0.0
North Dakota,2020-09-29,20983,234,17080.0,3669.0,603922.0,0.0
Ohio,2020-09-29,151802,4432,130859.0,16511.0,3106176.0,0.0
Oklahoma,2020-09-29,85194,1007,70808.0,13379.0,1160669.0,0.0
Oregon,2020-09-29,32994,547,5490.0,26957.0,675029.0,0.0
Pennsylvania,2020-09-29,161650,8093,128597.0,24960.0,3001687.0,0.0
Puerto Rico,2020-09-29,47422,648,0.0,0.0,695171.0,0.0
Rhode Island,2020-09-29,24424,1123,2278.0,21023.0,753156.0,0.0
South Carolina,2020-09-29,146455,3337,70430.0,72688.0,1273928.0,0.0
South Dakota,2020-09-29,21738,218,17692.0,3828.0,188344.0,0.0
Tennessee,2020-09-29,193732,2389,176030.0,15313.0,2847342.0,0.0
Texas,2020-09-29,776958,16092,657407.0,94491.0,6171755.0,0.0
Utah,2020-09-29,71442,453,54530.0,16459.0,817461.0,0.0
Vermont,2020-09-29,1745,58,1590.0,97.0,161925.0,0.0
Virginia,2020-09-29,146593,3172,17483.0,125938.0,2027168.0,0.0
Mississippi,2020-09-29,97049,2921,89737.0,4391.0,735892.0,0.0
Wisconsin,2020-09-29,117588,1283,96727.0,19578.0,1529594.0,0.0
Minnesota,2020-09-29,97638,2067,87330.0,8241.0,2003115.0,0.0
Massachusetts,2020-09-29,131072,9415,111479.0,10178.0,3931219.0,0.0
Washington,2020-09-29,88291,2088,0.0,0.0,1837206.0,0.0
Alabama,2020-09-29,152350,2501,64583.0,85266.0,1840372.0,0.0
Alaska,2020-09-29,7646,56,3771.0,3819.0,444791.0,0.0
American Samoa,2020-09-29,0,0,0.0,0.0,1571.0,0.0
Arizona,2020-09-29,217510,5624,34998.0,176888.0,2155348.0,0.0
Arkansas,2020-09-29,82049,1329,73573.0,7147.0,997698.0,0.0
California,2020-09-29,814842,15463,0.0,0.0,14484852.0,0.0
Colorado,2020-09-29,69490,2044,6441.0,61005.0,1313403.0,0.0
Connecticut,2020-09-29,57147,4503,9310.0,43334.0,1571206.0,0.0
Delaware,2020-09-29,20389,648,10577.0,9164.0,283815.0,0.0
District of Columbia,2020-09-29,15264,624,12053.0,2587.0,383048.0,0.0
Florida,2020-09-29,701302,14037,0.0,0.0,9667484.0,0.0
Georgia,2020-09-29,315281,6961,0.0,0.0,2898498.0,0.0
Guam,2020-09-29,2286,39,1795.0,452.0,49211.0,0.0
Hawaii,2020-09-29,12203,132,10155.0,1916.0,293562.0,0.0
Idaho,2020-09-29,40923,460,21630.0,18833.0,303252.0,0.0
Illinois,2020-09-29,292082,8858,0.0,0.0,5523141.0,0.0
Indiana,2020-09-29,118322,3613,92847.0,21862.0,1366294.0,0.0
Iowa,2020-09-29,87257,1324,66327.0,19606.0,755316.0,0.0
Kansas,2020-09-29,59902,645,2051.0,57206.0,513909.0,0.0
Kentucky,2020-09-29,66939,1162,11787.0,53990.0,1293140.0,0.0
Louisiana,2020-09-29,165091,5480,149640.0,9971.0,2289618.0,0.0
Maryland,2020-09-29,123880,3938,7476.0,112466.0,1603099.0,0.0
Michigan,2020-09-29,135702,7051,95051.0,33600.0,3593990.0,0.0
Wyoming,2020-09-29,5754,50,4613.0,1091.0,100116.0,0.0
West Virginia,2020-09-30,15693,350,11333.0,4010.0,558313.0,0.0
Montana,2020-09-30,12724,177,9093.0,3454.0,339926.0,0.0
Massachusetts,2020-09-30,131584,9423,111479.0,10682.0,3988224.0,0.0
Maryland,2020-09-30,124311,3946,7509.0,112856.0,1610310.0,0.0
Maine,2020-09-30,5337,141,4629.0,567.0,428054.0,0.0
Louisiana,2020-09-30,165624,5490,149640.0,10494.0,2307757.0,0.0
Kentucky,2020-09-30,67856,1170,11792.0,54894.0,1362929.0,0.0
Kansas,2020-09-30,60844,653,2051.0,58140.0,513909.0,0.0
Iowa,2020-09-30,88235,1341,67477.0,19417.0,758388.0,0.0
Indiana,2020-09-30,119066,3632,93921.0,21513.0,1371355.0,0.0
Illinois,2020-09-30,293448,8881,0.0,0.0,5568765.0,0.0
Idaho,2020-09-30,41434,464,21796.0,19174.0,304891.0,0.0
Michigan,2020-09-30,136820,7072,95051.0,34697.0,3618084.0,0.0
Hawaii,2020-09-30,12290,134,10215.0,1941.0,296414.0,0.0
Georgia,2020-09-30,316306,6994,0.0,0.0,2910833.0,0.0
Florida,2020-09-30,704568,14143,0.0,0.0,9737781.0,0.0
District of Columbia,2020-09-30,15300,626,12115.0,2559.0,386396.0,0.0
Delaware,2020-09-30,20531,651,10599.0,9281.0,285488.0,0.0
