Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,American Samoa,Northern Mariana Islands,Virgin Islands
2020-04-23,207.0,2.0,299.0,323.0,2215.0,387.0,631.0,108.0,155.0,1339.0,669.0,3.0,4.0,70.0,1830.0,601.0,176.0,390.0,101.0,481.0,30.0,962.0,3079.0,1330.0,220.0,259.0,217.0,3.0,389.0,127.0,82.0,4111.0,169.0,168.0,325.0,30.0,577.0,123.0,68.0,2339.0,164.0,415.0,156.0,98.0,872.0,1220.0,167.0,2.0,732.0,157.0,42.0,207.0,6.0,0.0,0.0,0.0
2020-04-24,193.0,2.0,273.0,211.0,1857.0,978.0,836.0,134.0,167.0,885.0,608.0,2.0,5.0,34.0,2721.0,642.0,521.0,238.0,300.0,401.0,28.0,879.0,4946.0,1345.0,243.0,281.0,274.0,2.0,222.0,190.0,50.0,2171.0,142.0,8130.0,470.0,39.0,475.0,104.0,50.0,1829.0,-140.0,443.0,153.0,84.0,462.0,975.0,170.0,2.0,596.0,224.0,29.0,304.0,20.0,0.0,0.0,0.0
2020-04-25,182.0,0.0,241.0,101.0,968.0,712.0,647.0,134.0,171.0,306.0,731.0,0.0,4.0,17.0,2119.0,718.0,647.0,176.0,136.0,372.0,0.0,1150.0,2379.0,433.0,261.0,284.0,146.0,1.0,295.0,141.0,77.0,3302.0,139.0,10553.0,478.0,55.0,418.0,73.0,76.0,929.0,31.0,430.0,183.0,107.0,461.0,515.0,166.0,16.0,772.0,342.0,0.0,331.0,18.0,0.0,0.0,1.0
2020-04-26,201.0,1.0,248.0,90.0,1116.0,473.0,686.0,458.0,142.0,693.0,264.0,0.0,1.0,10.0,2126.0,613.0,384.0,142.0,170.0,261.0,50.0,815.0,1590.0,704.0,156.0,193.0,180.0,3.0,309.0,195.0,67.0,3540.0,66.0,5902.0,229.0,64.0,385.0,60.0,58.0,1450.0,64.0,310.0,245.0,65.0,478.0,764.0,175.0,8.0,604.0,202.0,45.0,225.0,11.0,0.0,0.0,2.0
2020-04-27,146.0,5.0,191.0,68.0,1494.0,438.0,728.0,128.0,51.0,606.0,816.0,0.0,1.0,0.0,1980.0,949.0,392.0,196.0,71.0,295.0,8.0,906.0,1524.0,432.0,209.0,183.0,184.0,1.0,330.0,-34.0,74.0,2150.0,99.0,3951.0,324.0,75.0,353.0,27.0,43.0,954.0,18.0,269.0,115.0,32.0,251.0,514.0,113.0,4.0,568.0,165.0,8.0,169.0,18.0,0.0,0.0,0.0
2020-04-28,199.0,6.0,230.0,58.0,1333.0,437.0,315.0,413.0,102.0,710.0,620.0,0.0,2.0,55.0,2219.0,627.0,508.0,179.0,219.0,218.0,17.0,626.0,1840.0,1052.0,370.0,248.0,139.0,2.0,159.0,121.0,72.0,2668.0,149.0,3110.0,434.0,49.0,444.0,129.0,31.0,1577.0,11.0,219.0,122.0,69.0,134.0,941.0,109.0,7.0,801.0,156.0,32.0,208.0,16.0,0.0,0.0,0.0
2020-04-29,159.0,4.0,254.0,66.0,2596.0,442.0,455.0,80.0,112.0,345.0,853.0,0.0,4.0,0.0,2256.0,594.0,467.0,187.0,162.0,374.0,16.0,736.0,1963.0,1137.0,463.0,227.0,245.0,0.0,334.0,113.0,48.0,2509.0,239.0,4585.0,425.0,42.0,534.0,63.0,61.0,1211.0,33.0,320.0,147.0,60.0,314.0,1036.0,152.0,0.0,623.0,228.0,15.0,231.0,9.0,0.0,0.0,0.0
2020-04-30,208.0,0.0,446.0,88.0,1402.0,526.0,933.0,79.0,217.0,497.0,489.0,4.0,5.0,32.0,2560.0,653.0,302.0,574.0,171.0,341.0,39.0,893.0,1940.0,980.0,492.0,246.0,192.0,2.0,430.0,119.0,88.0,2287.0,198.0,4681.0,574.0,34.0,724.0,145.0,64.0,1629.0,106.0,374.0,213.0,76.0,369.0,1348.0,175.0,4.0,885.0,257.0,15.0,334.0,14.0,0.0,0.0,9.0
2020-05-01,253.0,9.0,314.0,56.0,1824.0,509.0,1064.0,184.0,335.0,1038.0,1225.0,0.0,1.0,31.0,3137.0,795.0,739.0,221.0,174.0,710.0,28.0,1730.0,2106.0,977.0,594.0,397.0,331.0,0.0,727.0,195.0,164.0,2551.0,102.0,3942.0,316.0,40.0,716.0,130.0,69.0,1589.0,36.0,341.0,163.0,76.0,1156.0,1080.0,156.0,13.0,1055.0,310.0,27.0,460.0,7.0,0.0,0.0,0.0
2020-05-02,260.0,1.0,395.0,35.0,1297.0,432.0,523.0,120.0,139.0,735.0,842.0,0.0,1.0,46.0,2450.0,665.0,759.0,251.0,-3.0,429.0,30.0,1001.0,1952.0,851.0,502.0,229.0,243.0,2.0,309.0,141.0,119.0,2532.0,219.0,4663.0,518.0,46.0,592.0,103.0,56.0,913.0,182.0,327.0,231.0,63.0,770.0,1156.0,157.0,7.0,836.0,366.0,33.0,346.0,13.0,0.0,0.0,0.0
