Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming,AmericanSamoa,NorthernMarianaIslands,VirginIslands
07-05-2020,26,0,24,0,72,25,79,16,8,61,28,0,0,1,137,34,12,1,11,41,0,66,132,89,23,22,22,0,13,8,22,258,3,516,21,0,40,7,6,240,3,21,11,2,-1,33,3,1,56,14,1,12,0,0,0,0
08-05-2020,14,0,67,1,79,16,77,13,19,69,45,0,0,0,130,28,12,3,4,19,1,57,150,54,26,13,34,0,-1,-3,7,153,9,100,17,2,39,6,3,122,5,22,4,0,4,35,0,0,43,16,1,10,0,0,0,0
09-05-2020,7,0,15,0,75,7,58,4,7,46,3,0,0,0,108,33,9,6,6,40,1,54,138,131,24,12,10,0,0,19,10,156,10,375,21,2,40,4,3,59,1,15,10,3,0,36,5,0,15,11,0,14,0,0,0,0
10-05-2020,3,0,4,3,31,4,35,11,12,6,3,0,0,0,57,34,13,0,0,19,0,30,139,25,20,9,8,0,0,-3,2,140,9,33,13,0,34,2,0,36,3,14,1,0,1,33,1,0,12,16,2,2,0,0,0,0
11-05-2020,10,0,6,3,62,16,41,12,5,14,38,0,0,3,53,42,6,6,7,22,1,39,129,29,13,5,13,0,8,2,0,84,8,340,11,1,26,2,3,28,2,15,15,0,8,29,1,0,11,6,0,9,0,0,0,1
12-05-2020,32,0,20,1,99,23,33,11,8,44,54,0,0,-1,142,39,18,4,10,39,0,73,33,90,23,22,16,0,2,9,9,191,11,294,25,2,39,4,0,81,1,22,9,5,15,37,5,0,42,16,4,9,0,0,0,1
13-05-2020,15,0,33,2,70,52,84,16,14,48,19,0,0,0,191,28,17,4,0,34,1,53,174,40,24,8,22,0,3,10,8,183,12,190,25,2,37,0,4,176,1,13,7,0,7,22,2,0,36,6,0,3,0,0,0,0
14-05-2020,23,0,29,1,100,24,94,12,8,48,28,0,0,3,136,44,12,1,7,36,3,57,167,73,34,15,15,0,0,2,1,232,11,159,16,0,27,6,3,181,2,15,9,4,14,71,0,0,28,8,2,13,0,0,0,0
15-05-2020,10,0,27,0,82,64,66,11,10,42,43,0,0,0,131,33,18,4,4,31,0,45,110,38,20,13,15,0,10,10,0,202,11,235,26,2,45,1,0,133,5,14,9,1,3,47,2,0,22,12,4,11,0,0,0,0
16-05-2020,2,0,28,0,70,42,54,10,7,47,10,0,0,1,70,30,10,2,2,31,1,46,113,56,17,17,13,0,10,4,20,113,6,172,9,0,34,3,0,61,0,15,0,0,5,39,1,0,25,8,0,8,0,0,0,0
17-05-2020,3,0,1,0,34,23,69,10,8,9,12,0,0,0,48,30,5,0,0,12,0,35,92,10,22,11,6,0,0,3,1,102,6,187,10,1,36,0,0,18,1,10,5,0,3,23,2,1,7,11,3,0,1,0,0,0
18-05-2020,1,0,7,2,42,9,42,7,9,24,39,0,0,1,57,41,4,3,12,72,1,31,65,24,9,6,11,0,0,8,0,76,5,110,7,1,38,0,1,15,1,18,6,0,3,12,0,0,5,6,1,6,2,0,0,0
19-05-2020,15,0,18,2,123,33,22,11,8,55,26,0,0,0,145,30,12,1,20,18,2,58,76,102,17,27,20,0,0,0,0,148,6,212,0,1,33,5,2,116,0,11,8,2,4,35,8,0,27,7,0,8,0,0,0,0
20-05-2020,18,0,42,5,93,42,57,9,7,44,22,0,0,3,146,32,26,3,10,27,0,42,128,43,29,16,9,0,15,19,18,162,7,79,33,4,29,6,4,141,1,22,8,0,0,42,2,0,33,4,1,14,1,0,0,0
21-05-2020,7,0,17,3,81,11,54,5,5,48,78,0,0,0,82,39,17,2,10,21,0,36,82,69,32,10,28,0,0,6,9,97,11,109,2,2,37,5,1,101,1,20,9,2,8,23,2,0,25,9,1,6,1,0,0,0
22-05-2020,12,0,11,3,83,14,54,5,6,46,33,0,0,2,108,18,14,1,5,39,2,48,80,29,33,15,9,0,9,3,5,139,8,112,47,1,32,3,2,144,0,11,3,2,2,11,1,0,36,5,2,9,0,0,0,0
23-05-2020,8,0,26,2,72,3,38,6,9,43,14,0,0,0,75,25,22,0,0,0,2,36,76,65,10,21,5,0,0,1,4,97,0,173,3,0,43,4,0,100,1,13,6,0,14,13,4,0,23,9,0,11,0,0,0,0
24-05-2020,2,0,0,1,18,5,18,8,5,4,5,0,0,0,66,15,10,0,0,23,1,34,68,5,17,9,4,0,0,-7,1,56,15,110,6,1,27,0,1,25,0,8,10,0,7,44,0,0,12,9,0,3,0,0,0,0
25-05-2020,15,0,6,1,15,1,49,6,8,15,21,0,0,0,29,22,0,2,0,0,0,25,44,13,12,10,3,0,0,14,1,9,3,89,6,1,27,2,0,15,2,10,5,0,2,11,1,0,37,4,0,4,0,0,0,0
26-05-2020,14,0,3,2,50,19,27,10,0,7,48,0,0,0,38,20,21,3,3,11,1,31,57,25,18,17,6,1,0,0,4,47,5,73,11,0,20,5,0,18,0,15,6,0,5,14,3,0,28,6,0,3,1,0,0,0
27-05-2020,3,0,24,1,78,40,34,10,5,60,37,0,0,2,160,15,19,3,6,21,2,59,74,68,34,18,-4,0,6,8,9,145,4,176,43,2,26,4,0,96,0,10,20,4,10,34,4,0,45,11,2,22,1,0,0,0
28-05-2020,8,0,26,5,91,29,23,8,8,45,40,0,0,1,103,19,10,1,9,18,3,36,93,38,35,23,19,0,10,4,9,70,6,45,32,1,20,3,3,100,2,8,4,0,3,21,1,1,57,4,0,11,1,0,0,0
29-05-2020,19,0,26,7,85,15,42,7,7,49,14,0,0,0,84,22,18,1,9,26,1,38,78,34,29,17,23,0,1,0,6,122,9,112,43,2,27,4,0,87,1,12,13,5,5,19,1,0,20,6,0,18,0,0,0,0
30-05-2020,8,0,18,1,66,7,44,4,2,34,17,0,0,0,60,23,7,0,13,19,4,43,50,58,30,13,44,0,6,11,0,103,7,65,10,1,21,5,2,73,1,12,4,3,3,39,5,0,12,2,1,20,1,0,0,0
31-05-2020,12,0,3,0,32,2,32,3,4,4,49,0,0,0,60,17,4,0,0,5,0,23,78,27,14,11,2,0,0,0,7,64,5,74,8,1,30,0,0,19,3,3,7,0,0,17,1,0,5,6,0,4,0,0,0,0
01-06-2020,16,0,11,0,45,13,26,3,2,9,41,0,0,0,22,20,20,2,8,10,0,20,189,25,10,5,0,0,0,0,0,25,6,123,11,0,30,0,1,14,0,5,6,0,0,12,0,0,17,5,1,3,1,0,0,0
02-06-2020,7,0,25,3,88,16,2,1,2,70,8,0,0,1,113,20,6,5,3,34,5,45,50,37,22,28,10,0,0,0,11,48,5,52,13,4,21,5,3,99,2,10,1,0,17,24,0,0,15,6,2,12,0,0,0,0
03-06-2020,0,0,40,6,67,20,17,4,3,36,21,0,0,0,96,26,13,4,8,35,1,44,67,17,15,15,5,0,0,14,9,109,8,51,38,1,29,2,2,73,2,11,0,0,7,29,4,0,21,5,0,9,0,0,14,0
04-06-2020,0,0,16,9,71,18,18,12,2,41,26,0,0,0,115,23,9,1,8,13,0,27,49,25,29,12,4,0,17,-1,8,90,8,147,7,0,22,3,0,83,0,12,0,2,13,37,0,0,17,11,1,10,0,0,0,0
05-06-2020,23,0,16,1,80,12,31,4,4,53,25,0,0,0,59,21,10,5,8,29,3,34,34,259,33,9,10,1,0,6,5,79,4,62,9,5,17,1,2,65,1,11,38,0,7,25,3,0,9,5,5,7,0,0,0,0
06-06-2020,13,0,28,2,76,3,17,0,4,28,4,0,0,0,69,10,6,1,4,13,0,38,54,40,22,8,10,0,0,1,5,57,5,44,13,1,23,2,0,33,1,6,0,1,9,27,1,0,7,4,0,12,0,0,1,0
07-06-2020,3,0,8,0,29,0,16,3,6,12,2,0,0,0,40,15,6,0,0,11,1,9,27,4,16,6,0,0,0,1,3,70,4,92,4,0,11,1,2,13,0,4,7,0,1,10,0,0,11,11,0,2,0,0,2,0
08-06-2020,26,0,2,1,25,16,13,3,2,12,28,0,0,0,20,17,12,3,2,8,0,27,37,18,11,20,9,0,1,4,0,38,4,43,9,0,16,0,1,11,0,4,11,0,3,11,3,0,5,10,0,-1,0,0,-17,0
09-06-2020,11,1,23,6,87,10,13,4,4,53,77,0,0,2,94,25,9,1,5,13,1,35,55,32,20,10,21,0,1,4,0,89,4,42,27,0,14,6,5,56,0,1,11,3,14,19,3,0,19,5,0,15,0,0,0,0
10-06-2020,15,0,25,4,114,19,23,2,4,36,44,0,0,0,77,17,5,3,7,11,0,33,46,7,39,21,6,0,2,3,15,74,6,80,22,1,13,2,0,50,1,4,7,1,2,31,1,0,18,1,1,10,1,0,0,0
11-06-2020,11,0,34,6,75,10,26,2,3,47,46,0,0,0,90,15,9,3,9,19,0,31,38,30,13,0,11,0,21,10,7,66,10,38,16,1,13,2,2,52,1,6,13,4,4,30,3,0,6,12,1,11,0,0,0,0
12-06-2020,14,1,21,5,43,0,13,2,4,29,43,0,0,2,75,16,4,0,4,9,0,25,46,5,25,13,19,0,3,2,7,46,0,178,15,0,25,2,2,48,2,2,5,1,25,30,8,0,14,5,2,7,0,0,0,0
13-06-2020,4,0,33,1,102,15,27,3,5,48,29,0,0,0,29,13,6,2,2,8,0,26,38,23,9,8,4,0,0,1,3,132,11,37,6,0,21,-1,0,51,0,3,6,1,6,19,0,0,7,4,0,2,0,0,0,0
14-06-2020,0,0,2,2,20,1,15,1,4,6,4,0,0,0,19,21,2,0,0,10,0,13,48,3,15,2,0,1,0,1,2,38,4,30,5,0,19,0,0,7,1,3,1,0,2,17,0,0,5,2,0,1,0,0,0,0
15-06-2020,1,0,12,3,16,7,3,2,0,7,43,0,0,0,18,14,6,1,6,4,1,8,23,2,6,4,3,0,5,2,0,49,5,33,8,0,14,0,7,28,0,5,2,0,8,23,4,0,6,2,0,2,0,0,0,0
16-06-2020,11,0,25,6,87,12,6,1,5,55,35,0,0,1,72,15,7,0,0,24,0,35,17,16,9,20,4,0,11,2,6,84,7,50,29,0,8,4,2,31,0,8,5,2,11,51,2,0,18,8,0,9,0,0,0,0
17-06-2020,5,0,21,9,71,14,9,3,3,25,46,0,0,0,87,17,10,1,13,20,1,14,69,2,13,23,19,1,3,6,4,43,5,30,12,0,13,1,1,43,0,6,10,1,5,38,4,0,13,6,0,10,0,0,0,0
18-06-2020,20,0,34,11,86,7,7,1,4,43,30,0,0,1,52,25,5,4,2,0,0,20,36,25,19,0,36,0,5,2,1,34,4,35,7,1,13,2,4,41,0,7,4,0,10,32,3,1,3,7,0,6,0,0,0,0
19-06-2020,12,0,38,6,73,5,12,4,3,43,31,0,0,0,43,12,1,3,2,22,0,14,30,6,17,0,13,0,5,4,6,33,8,41,14,1,17,1,1,37,0,3,18,3,7,32,3,0,16,7,0,11,2,0,0,0
20-06-2020,16,0,25,10,65,4,13,0,1,40,6,0,0,0,45,10,0,2,2,20,0,22,28,20,11,0,7,0,0,7,2,22,2,66,13,0,8,1,0,19,0,4,5,0,9,30,0,0,5,4,0,14,0,0,0,0
21-06-2020,1,0,3,1,26,0,9,3,2,17,1,0,0,0,22,11,5,1,2,1,0,14,30,3,8,0,0,0,0,1,0,15,3,42,8,1,7,1,0,5,2,2,9,0,2,14,3,0,4,5,1,0,0,0,0,0
22-06-2020,2,0,2,2,48,4,3,2,2,12,5,0,0,0,24,15,0,1,0,12,0,8,16,7,4,40,5,1,5,2,0,35,0,51,55,0,17,0,4,4,0,2,6,0,5,23,0,0,9,5,0,1,0,0,0,0
23-06-2020,23,0,45,10,59,14,14,0,2,65,47,0,0,0,36,4,3,2,11,17,0,18,16,12,9,11,6,0,7,0,4,51,7,56,18,1,12,2,0,39,0,7,14,2,11,26,5,0,25,10,3,5,0,0,0,0
24-06-2020,27,0,71,3,89,2,10,2,4,43,3,0,0,0,63,10,1,1,1,18,1,16,48,5,7,22,9,0,1,0,4,51,4,25,29,0,8,1,3,53,0,5,10,1,14,40,0,0,16,3,0,7,0,0,0,0
25-06-2020,5,0,28,0,89,2,11,0,2,46,47,0,0,1,40,13,6,1,8,12,0,21,25,19,9,5,2,0,3,6,10,1796,5,44,11,0,9,3,2,39,2,1,10,3,11,47,1,0,14,4,0,9,0,0,0,0
26-06-2020,11,2,41,9,65,4,9,2,3,39,25,0,0,0,37,12,8,3,7,26,0,13,50,1,5,6,10,1,6,3,8,42,4,41,12,0,14,2,5,21,0,1,1,1,10,39,2,0,25,11,0,0,0,0,0,0
27-06-2020,12,0,44,10,36,1,4,1,2,24,6,0,1,1,26,11,0,3,1,0,1,15,28,19,6,13,7,0,1,2,2,34,2,26,5,0,14,7,0,24,1,5,17,3,7,41,1,0,24,7,1,11,0,0,0,0
28-06-2020,0,0,14,5,28,2,5,2,2,29,2,0,0,0,15,9,2,1,4,9,0,11,19,4,8,4,0,0,0,0,0,27,1,29,-1,1,16,1,0,4,1,6,5,0,0,24,0,0,8,4,0,0,0,0,0,0
29-06-2020,10,0,4,1,53,5,4,1,1,28,6,0,0,0,14,9,5,4,2,0,1,7,35,4,10,20,0,0,2,4,0,17,1,6,5,0,16,0,2,9,0,1,4,0,8,30,1,0,8,5,0,0,0,0,0,0
30-06-2020,21,0,47,5,95,9,2,1,0,58,21,0,0,1,21,10,5,0,5,22,0,15,-41,32,6,14,1,0,5,3,4,43,4,629,23,0,6,2,3,37,0,5,19,0,12,29,4,0,23,6,0,7,0,0,0,0
01-07-2020,22,0,80,7,85,7,2,1,2,45,22,0,0,0,28,12,1,4,7,17,0,15,0,5,6,9,13,0,2,4,2,43,3,10,18,1,17,2,1,33,0,1,27,2,5,56,1,0,23,6,0,2,0,0,0,0
02-07-2020,13,0,39,2,93,4,2,1,1,67,22,0,0,0,0,8,2,3,9,17,0,7,79,14,13,10,26,0,6,14,2,29,3,21,11,0,11,6,1,25,0,3,18,4,11,45,3,0,30,10,0,7,0,0,0,0
03-07-2020,21,1,34,2,53,0,9,0,1,67,8,0,1,1,54,11,2,2,4,23,0,11,17,3,8,11,3,1,2,3,1,57,8,73,10,0,13,3,0,33,1,3,9,0,13,54,5,0,29,9,0,3,0,0,0,0
04-07-2020,1,1,19,5,28,0,0,1,2,18,0,0,0,0,9,7,0,1,0,0,2,13,23,3,0,4,4,0,0,2,3,25,2,20,3,0,12,0,4,3,1,2,20,0,4,36,0,0,4,7,1,0,0,0,0,0
05-07-2020,0,0,8,1,40,0,0,2,2,29,3,0,0,0,6,12,0,1,0,10,2,7,11,0,5,4,1,0,0,4,2,22,0,49,1,0,15,0,2,4,0,2,7,0,8,33,3,0,4,7,0,0,0,0,0,0
06-07-2020,0,0,4,5,68,-10,3,1,2,47,18,0,0,1,6,16,2,1,8,8,0,3,15,3,3,3,0,0,-1,3,1,18,2,13,9,0,13,1,0,2,0,4,7,0,7,55,6,0,0,9,1,0,0,0,0,0
07-07-2020,26,1,98,9,129,5,0,1,0,63,21,0,0,0,247,9,9,4,9,23,1,20,15,30,3,44,16,0,-1,11,2,52,4,24,14,4,15,5,5,32,2,2,19,1,13,101,4,0,28,9,0,9,1,0,0,0
08-07-2020,25,0,36,4,128,8,5,1,3,48,23,0,0,4,36,8,4,0,6,20,0,9,30,11,9,30,2,0,0,5,2,51,8,8,16,1,12,3,4,23,2,0,38,0,20,93,7,0,24,8,0,2,0,0,0,0
09-07-2020,10,0,75,4,148,2,5,0,4,120,8,0,0,2,20,11,5,4,4,16,1,13,25,9,5,16,4,2,2,18,1,116,6,32,15,0,20,3,6,36,0,0,21,3,25,134,4,0,32,16,0,2,0,0,0,0
10-07-2020,36,0,44,4,107,18,0,1,0,93,35,0,0,1,16,7,2,0,8,25,0,15,28,14,5,11,11,3,2,8,3,31,6,46,20,0,17,6,2,31,0,3,24,6,13,63,2,0,21,9,0,5,0,0,0,0
11-07-2020,10,0,69,6,73,1,0,1,0,95,31,0,0,1,24,11,5,2,2,23,1,7,14,28,4,15,7,1,-1,13,1,46,4,12,16,2,20,5,0,18,8,3,22,2,15,79,5,0,4,7,1,7,0,0,0,0
12-07-2020,7,0,86,2,24,0,0,3,0,45,7,0,0,0,19,13,4,2,3,13,2,9,15,1,3,19,1,0,0,1,0,0,2,7,9,0,14,1,2,7,0,3,10,0,3,90,3,0,4,5,0,-1,0,0,0,0
13-07-2020,3,0,9,2,38,2,23,2,0,35,23,0,3,0,6,9,3,1,4,7,0,6,5,7,2,1,13,3,3,0,0,35,3,45,7,0,13,2,3,10,0,1,11,0,8,73,1,0,2,9,1,0,0,0,0,0
