25,235,31,224,161,1819,322,7750,123,230,3698,727,73,43,569,394,114,151,160,199,1761,653,541037,557,292,93,173,31,60,132,8185.0,1587,39,5876,908,56,693,492,129,1639,7717,468,69,306,1089,121,943,1118,275,129,255,14,208.0
26,520,76,785,256,1910,722,217,47,73,5398,1361,153,129,5732,6053,501,266,880,331,76,455,602,1108985,977,364,1001,169,242,277,120.0,386,122,1567,1074,125,8480,334,318,913,28,781,93,1323,2585,189,42,915,576,257,2396,172,51.0
27,231,64,732,244,1418,732,105,22,38,1697,570,103,182,1654,435,4732,567,131,117,54,165,289,836,578529,131,842,242,903,191,103.0,240,219,501,519,4950,472,377,193,332,29,192,2882,312,1523,125,56,420,531,29,9155,134,22.0
28,6728,28,193,1985,519,216,54,22,27,2522,2084,27,328,805,294,182,227,388,8366,24,132,116,277,152,428091,911,41,114,92,51.0,63,118,270,644,110,480,551,64,212,8,431,47,6911,4027,43,13,442,100,187,189,31,14.0
29,832,38,797,6428,1879,1172,103,31,72,2300,1199,78,173,15389,2074,2653,17638,1014,925,53,260,212,999,1136,871,835155,75,1455,238,50.0,276,175,664,884,198,1191,3452,198,515,34,553,254,1598,5028,276,17,850,407,119,1029,128,38.0
30,112,47,310,32,950,565,30,17,9,401,352,57,513,226,100,58,45,48,75,15,48,58,123,392,115,115,85636,75,180,,72,62,136,240,559,132,92,268,60,10,56,108,187,621,452,6,125,874,24,101,562,1.0
31,135,19,546,131,628,1169,25,6,16,404,359,23,156,657,178,5109,1363,126,85,20,44,43,342,745,73,990,50,250952,103,11.0,85,122,186,272,246,192,310,127,134,29,111,783,160,1602,162,20,177,273,22,247,349,
32,487,168,5363,322,38817,1671,160,30,77,2675,1064,1268,1076,1643,669,295,473,372,517,25,363,344,1139,677,233,650,299,338,326035,101.0,506,1030,1222,666,305,887,609,1293,481,39,384,103,739,6330,3599,8,715,1901,70,568,218,60.0
33,75,8,91,16,493,85,957,170,30,777,169,11,20,128,68,27,16,39,42,2443,120,11565,82,43,31,55,14,18,25,121155.0,322,6,933,274,4,267,86,47,399,692,174,2,88,254,47,1913,304,71,49,148,9,13.0
34,361,41,435,159,2311,468,2791,1837,507,6863,1449,110,29,980,767,152,188,533,302,253,3170,2689,891,247,137,412,28,76,170,330.0,941687,56,33064,2614,13,1234,188,263,20341,638,1225,27,857,1881,130,381,2971,333,367,296,17,280.0
35,209,20,2249,276,2646,2009,57,39,18,640,449,36,144,386,527,205,444,183,689,16,117,118,244,382,185,449,86,328,626,21.0,75,164938,220,274,77,230,1572,157,140,16,123,75,268,16339,312,11,243,292,33,111,162,18.0
36,2994,56,1438,580,7718,1241,11474,842,1048,19877,7079,271,845,2606,1774,528,410,2229,1144,1276,4355,8216,2544,676,2016,1147,87,165,503,960.0,37838,274,1778023,6967,67,4548,1084,582,15514,1483,3867,61,4021,7319,501,1353,6137,990,910,865,82,848.0
37,2414,51,505,584,3310,665,550,335,295,17248,8910,110,123,1361,1016,469,327,1576,766,239,2147,789,1099,288,806,669,64,193,171,262.0,1615,169,3778,1283140,83,2253,390,224,2539,111,23532,29,4709,2725,186,111,12285,474,830,464,32,189.0
38,23,4,225,27,147,136,4,6,1,196,59,2,117,78,39,212,64,15,38,9,11,4,69,4119,80,82,452,221,41,5.0,25,37,49,47,79130,55,177,58,35,1,28,761,47,278,75,7,51,66,2,155,97,1.0
39,845,51,598,547,2198,922,377,142,110,4936,2161,114,104,2303,7424,594,319,9453,383,122,778,631,9621,334,457,984,89,242,289,228.0,752,135,2287,2367,77,1356361,431,164,7197,69,1298,65,1928,2919,199,56,1719,531,4234,853,80,67.0
40,378,40,594,4577,1641,909,108,27,31,980,766,66,283,647,349,458,4152,216,848,42,164,164,431,331,453,3324,61,514,166,44.0,97,566,462,428,127,376,594504,111,221,5,290,97,518,16659,116,46,359,250,51,347,137,11.0
41,146,299,1143,88,6987,504,77,13,50,729,229,431,1825,398,180,252,160,86,97,68,72,172,302,307,59,369,277,119,623,30.0,123,110,438,530,96,275,173,394250,156,14,101,72,189,1142,598,9,221,16381,23,535,139,6.0
42,699,68,737,475,2474,720,1179,4647,650,5869,1838,117,172,1480,1131,424,237,1071,383,319,7924,1725,1836,377,400,648,80,210,261,327.0,22892,93,14014,3197,64,9696,563,157,1209451,253,1571,82,1276,2459,208,297,5041,447,3092,448,68,270.0
44,18,3,23,2,180,24,1815,9,27,552,80,17,17,104,14,12,17,15,14,122,62,5634,50,22,13,15,3,3,14,249.0,220,8,751,145,2,54,14,3,188,87204,77,1,55,101,22,62,163,26,23,6,3,30.0
45,1174,37,230,290,1004,350,474,220,173,7213,10826,56,73,974,897,210,265,1026,397,110,1219,517,1017,230,407,676,48,142,83,167.0,1228,63,2341,27021,31,2454,159,64,1707,68,663552,52,2806,1895,97,70,4406,214,875,276,15,68.0
46,52,5,180,61,182,253,9,3,3,166,91,13,55,107,49,1443,149,42,32,3,92,16,82,2170,35,199,123,1165,23,9.0,16,21,48,45,983,44,117,40,39,1,29,91076,49,363,38,2,49,187,1,133,394,
47,14493,72,517,3923,3785,677,263,145,115,14575,17539,99,124,3737,3642,641,1251,9851,2781,86,961,417,2416,446,12278,2227,66,329,246,90.0,694,194,1212,7365,73,4180,827,157,1265,141,4239,61,883429,5619,240,31,5271,299,689,760,31,67.0
48,3798,330,4071,12143,14691,6768,671,201,425,10279,5967,543,842,6238,2860,1796,3547,1714,17525,223,1672,1467,2922,2284,4271,4944,571,1736,1536,326.0,1754,7860,4019,3913,583,3405,18968,1025,2378,159,1978,401,5781,4036744,1749,103,3674,2623,409,1559,829,478.0
49,400,90,2009,161,6776,1406,146,46,49,2028,851,333,3818,834,222,596,190,165,320,20,197,234,443,246,159,341,1300,211,2037,19.0,265,282,780,648,102,577,281,572,305,74,226,58,440,2647,298035,12,845,988,58,205,898,49.0
50,53,3,31,14,138,55,1946,52,14,668,96,7,13,90,39,8,10,30,23,140,184,1992,56,10,15,16,12,1,6,1294.0,1342,8,3259,182,5,169,42,9,432,201,61,1,43,153,24,41065,342,21,15,33,2,101.0
51,1593,56,547,306,2427,691,808,824,2673,6136,3920,148,117,1207,790,263,426,1565,664,224,14878,1144,838,374,963,652,174,148,268,279.0,2548,99,3615,13772,43,1842,460,207,5102,207,2929,79,4558,3281,259,133,851817,451,4260,381,42,135.0
53,254,944,1892,384,8688,1002,135,65,123,1453,558,799,4572,581,383,206,222,182,200,54,228,404,455,441,187,353,861,439,743,50.0,212,153,708,897,191,847,299,12313,610,43,281,68,365,2427,872,30,484,726474,32,474,190,21.0
54,331,11,32,51,167,44,35,80,84,1178,642,16,7,189,229,26,48,1278,98,33,1897,55,246,21,91,148,7,23,13,15.0,144,22,333,1553,8,5955,105,12,2447,11,697,9,378,295,48,7,3236,30,174375,113,3,5.0
55,350,35,530,215,1054,590,137,38,60,1787,644,56,59,16996,1318,2129,263,304,121,111,191,249,2191,7561,191,796,107,296,152,64.0,134,83,602,589,211,745,241,224,331,18,214,155,569,1431,143,57,415,324,98,605513,42,29.0
56,137,21,195,67,702,1585,65,7,18,282,264,21,544,234,137,128,90,55,50,11,61,29,108,121,14,156,602,492,100,5.0,47,67,137,100,167,99,115,220,62,6,61,313,139,654,640,11,109,294,18,69,46591,14.0
72,44,3,57,8,239,69,145,27,40,2354,255,7,14,258,91,30,21,20,53,3,129,310,94,71,51,27,3,10,16,22.0,447,16,661,216,2,169,21,8,323,34,69,9,44,568,20,12,187,36,9,85,4,83950.0
