date,h1
2/26/20,3
2/27/20,3
2/28/20,3
2/29/20,2
3/1/20,4
3/2/20,6
3/3/20,1
3/4/20,4
3/5/20,4
3/6/20,2
3/7/20,6
3/8/20,8
3/9/20,5
3/10/20,8
3/11/20,15
3/12/20,21
3/13/20,24
3/14/20,28
3/15/20,51
3/16/20,70
3/17/20,62
3/18/20,145
3/19/20,101
3/20/20,236
3/21/20,214.3188634
3/22/20,173.9446202
3/23/20,518.7268488
3/24/20,242.792178
3/25/20,248.8414886
3/26/20,349.6616497
3/27/20,817.587234
3/28/20,511.5565672
3/29/20,834.2072011
3/30/20,405.4632888
3/31/20,1029.551673
4/1/20,1040.295749
4/2/20,987.572489
4/3/20,1173.114311
4/4/20,1159.492078
4/5/20,1351.4333
4/6/20,1148.334591
4/7/20,2108.48804
4/8/20,2301.043546
4/9/20,2265.057041
4/10/20,2247.891454
4/11/20,2304.998765
4/12/20,1928.124837
4/13/20,1711.739689
4/14/20,2550.716698
4/15/20,2286.278578
4/16/20,2471.469129
4/17/20,2159.749606
4/18/20,2038.862121
4/19/20,1675.654391
4/20/20,1566.756859
4/21/20,2478.809654
4/22/20,1982.790463
4/23/20,1993.794754
4/24/20,1851.63559
4/25/20,1767.0475
4/26/20,1468.830798
4/27/20,1278.506215
4/28/20,1766.998298
4/29/20,1859.777359
4/30/20,2028.109333
5/1/20,1843.502206
5/2/20,1580.553703
5/3/20,1281.624279
5/4/20,1227.529449
5/5/20,1578.820745
5/6/20,2139.467364
5/7/20,1727.753719
5/8/20,1878.929306
5/9/20,1536.742773
5/10/20,1151.203151
5/11/20,1000.762642
5/12/20,1597.58242
5/13/20,1505.391267
5/14/20,1689.177387
5/15/20,1480.326188
5/16/20,1251.319468
5/17/20,968.0428866
5/18/20,834.7880492
5/19/20,1369.786896
5/20/20,1349.019039
5/21/20,1404.42026
5/22/20,1195.352679
5/23/20,1058.48555
5/24/20,791.6518035
5/25/20,683.6770317
5/26/20,1002.990645
5/27/20,876.3057126
5/28/20,1224.193305
5/29/20,1073.320866
5/30/20,869.5400857
5/31/20,663.8133882
6/1/20,588.8047034
6/2/20,897.3483295
6/3/20,1083.55374
6/4/20,967.2970555
6/5/20,821.1075481
6/6/20,730.3539212
6/7/20,543.5050743
6/8/20,599.6842052
6/9/20,896.0247461
6/10/20,921.2278709
6/11/20,869.1589744
6/12/20,796.1284516
6/13/20,648.9890556
6/14/20,543.5788934
6/15/20,405.3321678
6/16/20,611.0876346
6/17/20,791.6036788
6/18/20,759.2016718
6/19/20,620.793766
6/20/20,582.8568095
6/21/20,432.3383023
6/22/20,335.2455994
