h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28
757.0689384,506.6598363,431.7328712,408.9629685,328.7115422,284.6550241,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988,242.9268988
859.6748933,702.9157294,487.1443029,435.9414645,412.9113663,355.7341499,287.3117566,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662,217.0637662
1021.137125,822.5676907,687.4921359,540.040421,488.2524793,471.8440867,383.0444683,267.8575148,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101,193.2769101
1150.809764,983.3881427,812.2856958,719.979117,570.8424468,533.9447805,508.4615706,358.9701978,236.6789749,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064,185.5775064
1246.212296,1040.171043,895.9079083,778.9816331,685.6202515,579.3639512,522.0596805,479.1594958,320.4480947,236.6560538,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085,196.1863085
1249.6505,1189.330184,1011.789453,913.2043573,794.941946,728.424201,563.4018456,466.9319028,421.3858068,312.6392272,246.2802231,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886,210.6587886
1327.250433,1286.727673,1234.751125,1113.42512,1013.713476,929.4543445,826.1483295,548.338369,445.918547,414.7110716,328.589351,270.1802137,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288,236.5749288
1839.371984,1391.792213,1356.874736,1321.355524,1198.643106,1127.600952,996.7415082,822.8290716,527.8849069,457.7084404,432.9937185,357.1894554,302.0862366,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753,257.9288753
1885.749287,1782.707944,1397.039352,1373.177797,1337.2527,1249.823046,1139.490354,919.1925845,734.5539263,532.4627794,476.8866127,455.1327361,383.6189441,311.2132868,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954,242.136954
1923.817292,1819.754089,1730.965873,1467.411536,1443.277311,1417.681541,1281.898087,1096.15646,862.2716077,735.7600754,575.7142392,526.7961459,506.2735243,412.3043656,299.0386011,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636,222.3203636
2015.814329,1915.572327,1825.903598,1765.228397,1498.66238,1481.467324,1441.715571,1213.128384,1015.930959,855.6767012,755.4860482,614.6138432,568.4644816,541.4977464,394.4997218,268.7033821,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515,209.5365515
1893.396791,1856.125845,1769.749752,1708.472835,1647.104288,1457.182395,1430.477449,1363.55662,1120.871092,985.7544883,858.8413255,770.6536004,637.7546689,577.1143844,534.9297267,371.6693319,274.6523648,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082,228.0055082
1749.187029,1870.97464,1838.859173,1779.832344,1717.855205,1674.131588,1379.17159,1334.214652,1263.166414,1096.882071,989.8766421,878.1677873,794.971429,620.342166,525.4812335,478.6296931,352.7196039,276.2318741,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633,235.3038633
