h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28
1177.653787,1252.421885,1287.350115,1267.008951,1298.87519,1336.416189,1499.883865,1596.87786,1663.10231,1677.538889,1656.085757,1700.76357,1702.832372,1838.085441,1995.278738,2340.698834,2399.973401,2558.775223,2693.194219,2399.251257,2754.563803,2280.923483,2565.979539,2670.399964,2799.627266,2966.256165,3125.527568,2822.849377
1032.768583,1355.601654,1420.027503,1443.896407,1423.322801,1446.026732,1504.330136,1779.522842,1882.499038,1927.875,1939.308031,1920.425003,1962.574081,1965.292489,2176.871843,2351.455412,2617.85116,2664.582955,2803.915874,2942.504604,2599.786011,3155.003839,2663.620276,2912.110814,2994.336026,3111.236826,3278.544803,3460.774463
1307.349351,1117.025396,1395.202794,1439.229484,1463.371142,1448.712941,1483.973498,1582.125449,1874.290938,1944.848623,1980.784061,1990.847404,1973.033144,2028.417053,2032.669518,2267.655865,2402.298641,2612.323822,2653.326358,2796.981442,2958.56699,2423.0287,2999.045782,2570.694363,2766.366685,2840.748746,2958.125963,3149.550634
1215.162651,1260.723151,1096.725633,1286.823715,1331.353506,1348.553858,1325.7888,1385.148841,1489.354411,1689.541653,1745.419725,1777.050066,1786.543831,1763.135883,1849.774153,1854.497067,2035.723824,2141.875568,2326.151927,2368.426379,2535.918971,2788.415479,2232.815158,2734.943746,2397.641096,2574.648978,2649.334175,2783.63079
891.9125959,917.8339199,957.0922942,845.0213139,1037.291678,1069.018086,1095.731256,1057.406995,1120.428125,1191.828158,1350.366199,1399.55003,1429.390114,1441.864926,1405.247358,1501.470407,1505.112825,1647.991165,1741.128839,1931.121528,1980.41082,2242.137782,2504.093171,2019.762388,2415.160409,2110.031779,2287.761038,2373.211771
651.6606432,632.0839964,654.4197702,681.2477645,567.8961304,704.884153,754.1571522,799.1279364,758.4399887,801.6210851,858.166254,997.7112988,1044.111357,1083.321243,1102.835866,1062.167302,1136.376682,1139.248347,1264.609983,1360.636827,1582.156086,1659.176428,1930.708057,2159.061162,1777.677912,2135.360415,1828.988265,2032.336398
426.9502923,424.8474017,407.9786818,423.242279,450.3768413,369.6165209,582.3670691,665.3166182,713.06102,685.1822721,719.3794885,769.1504967,900.7973844,961.7670843,1023.103972,1044.777495,1013.412984,1071.919317,1074.43892,1203.689326,1315.650452,1661.800463,1741.706098,1978.407052,2158.222279,1813.21773,2172.357932,1821.823614
1114.233112,955.5100458,953.6980362,942.1704595,957.6084763,976.9412011,851.5156192,1209.674496,1297.74004,1330.453761,1308.37522,1338.47558,1385.429582,1558.413659,1653.789904,1721.912482,1738.627591,1713.899955,1765.233485,1767.831247,1918.528911,2093.481396,2452.598682,2522.254435,2708.643123,2871.306458,2524.895878,2935.804524
1184.161417,1274.359493,1137.591691,1136.353418,1124.694114,1135.693331,1165.718203,954.5681685,1334.816848,1395.157987,1421.065578,1401.632066,1430.028766,1491.726348,1762.329149,1868.256854,1920.794519,1933.972634,1912.276574,1965.202493,1968.231316,2203.714218,2385.220674,2698.272251,2753.122238,2921.732017,3085.058269,2688.714162
1209.287174,1341.00223,1418.723717,1325.260707,1324.008284,1315.701309,1332.783747,1383.329677,1159.156756,1419.697228,1467.484319,1490.288158,1471.95457,1509.267847,1605.782734,1906.322284,1988.016113,2029.436566,2040.99906,2018.62998,2080.338198,2085.071092,2329.375521,2487.599267,2734.109775,2783.727831,2953.024761,3139.893758
838.9743266,1044.446895,1157.942552,1211.055082,1116.524055,1115.631734,1102.730508,1131.488257,1185.151657,1031.551864,1237.886571,1279.948727,1301.461883,1277.37154,1335.741521,1442.933836,1674.716698,1739.123737,1775.466094,1787.387262,1761.306353,1857.732733,1862.642928,2075.609248,2200.201548,2423.198354,2473.018623,2666.718944
675.6965368,678.1992864,855.2499958,932.8095204,986.5289766,919.1778872,917.7920592,896.0732501,926.6046612,963.373987,841.7308188,1023.346448,1063.027913,1091.296212,1053.611157,1118.438601,1201.107726,1383.844266,1440.355083,1477.824796,1491.724111,1450.969609,1551.00826,1555.2886,1722.987598,1835.695512,2059.601119,2116.602755
473.5812788,449.4604687,451.617027,572.6081663,651.0539766,689.3278006,584.7275522,582.3945541,559.336216,580.2558633,609.3752859,502.3050756,673.6413801,725.7828462,770.0035682,728.1494206,778.1458042,843.3217611,1003.655032,1061.918838,1105.606114,1127.325436,1085.044212,1172.250422,1175.620949,1327.323776,1440.491019,1696.671613
546.1234389,365.1274711,344.3431563,345.8168835,468.1906087,524.081367,583.5228924,407.4316544,404.9547664,389.1555523,405.7228413,431.3537316,330.3436243,555.4796148,637.0456586,686.1585126,653.8796525,693.2965709,750.4820378,915.7889142,983.7207655,1051.987295,1074.520255,1037.662648,1106.332633,1109.381658,1261.702734,1391.182527
1088.832782,1007.675445,851.7156266,837.5122499,839.0028176,926.1911615,1012.992834,1113.060778,926.1089387,924.4118136,911.8996454,926.4821587,950.6623576,817.9350257,1170.120214,1260.709898,1298.586836,1273.138331,1307.722785,1366.682169,1559.419358,1665.570901,1736.394793,1756.03734,1727.014048,1789.133863,1792.195315,1966.472789
871.8034106,999.5331407,929.6018397,823.0235819,808.6579008,809.7198946,945.1285794,1091.256473,1197.496207,1069.399719,1068.055682,1057.042483,1070.799636,1102.572429,894.9441405,1286.091526,1355.956327,1385.818331,1363.489781,1399.147059,1467.88991,1769.064537,1879.192668,1940.931637,1956.399039,1930.144168,1992.517147,1996.019893
962.7608818,949.4127701,1059.474369,1011.685417,903.8892717,893.6540685,895.303408,1123.259683,1278.400159,1351.193969,1249.748112,1248.565093,1238.175233,1256.252139,1305.955019,1075.356843,1377.018506,1432.099594,1458.300553,1435.279362,1476.853456,1584.272281,1896.729341,1992.730805,2041.34677,2055.338795,2028.976925,2100.340688
766.4663787,808.5076569,797.005914,872.2187061,823.8836622,747.0814943,731.1856148,733.9622262,975.9779296,1082.277767,1139.926736,1050.634182,1049.51812,1035.865839,1064.143941,1119.345444,941.5029431,1179.331608,1227.659824,1254.673548,1227.832319,1292.796752,1404.239641,1676.616323,1752.212077,1796.19075,1810.239797,1780.077983
704.7433653,705.0370576,741.2630034,733.4030576,809.4753188,775.0377594,655.7594238,628.9992092,631.9470709,797.7724607,881.9564866,932.6990587,848.4604038,846.9938987,825.6373349,857.0438388,899.6164798,759.4062715,968.0774421,1017.90482,1049.401085,1007.458494,1074.856588,1172.004158,1386.485476,1454.870437,1499.028341,1515.102496
559.5471881,566.3125992,566.5656667,591.3213905,583.3716278,637.5712892,584.0877108,383.2863731,354.8756959,356.8955247,488.2207391,562.319445,610.1900211,499.5003862,497.2062999,473.4870626,497.708465,531.2725389,408.2519253,623.3961631,681.4916814,730.708317,687.194497,745.9471113,822.445359,1016.468118,1085.131775,1135.654841
364.0759322,492.8852739,498.7148639,498.8878026,523.9264142,518.262399,602.4376974,512.3997703,299.2138115,279.747258,281.346859,396.9391978,466.8439661,529.7459272,356.5916932,354.0438125,335.7510032,354.8470451,384.296206,257.4594413,508.3037892,599.0848998,650.1452609,612.2131689,658.4775481,727.6789182,922.4923966,1001.053611
734.7880769,721.6115799,832.6034535,836.5872203,836.7621352,854.6015454,845.8049928,987.5114681,891.9203628,745.8486649,730.4321518,731.8401191,840.8900081,932.7449088,1031.143832,838.8335702,836.8685873,822.4466207,839.201512,869.5641982,721.680686,1113.654614,1207.836515,1252.347116,1222.477727,1264.329123,1333.812516,1556.707481
721.2002427,730.5127269,719.1588602,795.0073744,799.0366643,799.161287,826.8669523,812.0582318,962.5045942,897.007058,781.3257557,767.7561543,769.0844317,912.3760407,1056.066685,1165.351467,1017.037467,1015.488283,1002.834432,1020.109067,1055.510006,824.424548,1231.08238,1313.183113,1348.232709,1321.212447,1363.234404,1442.733516
776.1059868,739.0780614,747.1024022,739.3435106,816.0587584,818.9295309,819.1230773,865.7646959,850.042633,953.1261368,901.2554432,799.4328622,786.6312913,788.3766484,1012.530868,1172.117988,1256.40087,1139.470796,1138.11154,1125.065161,1145.206275,1200.524425,960.782175,1315.276042,1379.925751,1411.632099,1384.501719,1432.580952
597.1905711,656.451861,624.5457991,630.0293928,622.181839,676.839613,681.2980934,681.6239228,731.1422093,720.3696967,802.0065513,756.3500122,660.2905219,643.4692512,646.1995518,895.1519207,1018.229097,1084.677333,982.0827386,980.6813185,965.4700788,996.9429485,1054.333396,845.3440429,1124.488024,1182.971043,1214.806607,1183.765505
526.4989742,491.9838751,543.0478858,521.244241,526.7904966,521.1993028,606.0860772,613.5917891,613.9377144,647.8668729,639.3355948,711.1922827,668.1198735,541.8976548,515.5837706,518.6161239,710.6137913,807.6472703,865.9490364,760.1719143,758.5379485,734.7685895,767.4204779,817.4491756,652.8818145,905.3993104,964.1206711,1000.545188
372.1073155,316.3756334,286.6348129,321.5304247,299.477626,303.4292001,294.7457435,437.6499664,445.6186005,445.8556231,472.7257786,465.216555,533.0062021,476.4090346,278.9568378,249.7318524,252.0704715,403.4405477,488.5778446,548.688156,425.3588329,422.8055683,398.1457751,426.609248,466.0040335,317.1341287,570.6807339,637.8665146
255.4605861,305.2767744,257.2541408,236.930157,272.2245268,256.5124367,262.6494663,248.0311394,399.7491216,405.2091056,405.3968153,429.0479027,421.9636962,511.0393265,422.503131,203.2068262,180.66786,182.5116165,315.3239124,403.102204,473.186962,280.4703249,277.8214113,256.324849,278.738233,314.3752993,164.8986904,454.9928983
666.5702332,646.0792134,689.00461,656.1873839,635.6311545,660.7775464,636.3757359,646.7072327,631.1873061,735.142104,739.4661316,739.6313536,761.9438051,752.6351542,891.9781246,793.6471826,624.520939,606.7513219,608.3690362,745.3012252,847.6450692,957.1607832,757.2247052,754.9155806,737.9882468,758.2637031,794.0460047,623.023015
731.7770727,695.6118703,677.9552574,707.2891847,674.0969508,659.4511304,698.5049729,657.42529,668.3939922,657.7599802,740.0868551,743.8928604,744.0487309,773.3673035,758.8055758,913.5640389,837.7290043,704.3906532,688.7995687,690.4674652,850.1215931,1010.04594,1123.664269,949.3749582,947.5566524,932.2439528,952.6020397,993.5421991
657.8299697,675.3220041,644.1593297,632.0933306,661.7624616,638.113791,615.3679607,681.11388,637.500567,645.0161509,636.5945581,709.0586013,712.6491893,712.8540032,758.717692,742.5450025,861.8982107,802.1102189,685.1189814,669.0442549,670.988915,920.467351,1086.382693,1185.42665,1048.18362,1046.538756,1031.163651,1054.456264
553.3565788,559.546798,574.6192581,553.3236221,541.1197427,562.2582869,525.5304947,487.2386027,557.0394665,527.1563039,533.1082613,525.6955828,594.0582091,598.7762435,599.0966384,650.0342204,637.5614785,731.6589979,679.2009384,558.5805836,539.8384862,542.8772473,801.7015024,946.3340814,1024.325627,900.1736893,898.5221213,880.9307642
507.5193421,466.8114907,472.1454519,482.4455186,460.9065338,452.2115625,485.0409791,423.2108927,382.5573103,430.3837748,406.7178408,411.9567485,404.9636226,494.7921481,502.1726732,502.5285134,541.8127225,531.9792702,614.5405525,560.455222,419.819644,390.5329026,393.6855,619.3091172,733.1991383,803.7513662,679.09346,677.203826
272.0686115,271.7659272,236.6889628,240.3340317,250.751799,235.4057889,221.9019813,277.1692746,211.5257565,183.6705551,221.5466651,200.7159307,205.6583197,196.4693488,336.9900897,345.1871212,345.4615532,376.4330426,367.8051592,452.927527,389.8675093,170.1078043,139.7239397,142.4721382,320.1380465,423.1645305,494.0042868,351.3775041
202.7730539,202.1865314,201.9257157,177.9551713,181.641893,189.0643024,165.2310358,142.4977991,201.1737574,156.1958414,134.1359488,167.4744677,147.8227391,154.3170407,139.9425311,296.0090612,302.3307963,302.5471572,329.7215811,320.8260572,420.0732648,321.5345374,93.5423195,67.05593998,69.21999176,229.939023,333.3853809,414.4363695
691.7097079,607.8128068,607.3074146,607.1291809,582.8847211,585.511422,597.0388652,556.9163083,532.7809767,572.9848293,537.3646238,517.9475256,549.3991064,523.5767251,533.7359042,517.7711447,638.1331636,643.1171904,643.3070257,671.3244117,660.9528027,816.0382895,713.8081604,515.061606,494.2050719,496.162703,657.5367282,775.8944133
640.6505375,711.6271343,639.3352172,638.9898474,638.809577,621.535981,625.6154036,645.0214928,602.4243375,585.8871843,617.7265761,586.3737024,568.0555991,609.3829921,568.9884723,580.2715599,567.9591782,662.8520393,667.2250307,667.4207548,700.0872254,683.880361,844.775572,755.6589956,599.1572626,580.2901541,582.2557633,766.8911285
602.9693435,566.8547111,628.0135164,578.6113907,578.2620743,578.133636,551.3067137,558.1742938,578.7772727,549.5903655,536.4937873,564.5187921,534.9404703,510.8704734,575.5198245,530.6564647,539.3582357,529.6512108,612.9103268,617.4189703,617.647172,668.6923914,651.8783947,792.1347995,721.9605079,580.3868815,561.4428821,563.691825
584.4412535,523.9679428,492.8488434,534.6429348,484.6762827,484.4274031,484.2279308,439.0656484,446.3567933,460.4736335,437.3590981,425.8315014,452.2703095,413.4043797,375.7511534,447.5526529,412.9530206,419.8134567,411.2965008,497.1383496,502.3951379,502.75173,555.7091764,541.0519923,651.4960223,588.0153902,445.864795,424.1901032
473.3191103,461.6321253,409.5237458,388.2578876,430.529567,394.9295259,394.5430011,394.2071957,346.2594849,351.2552638,362.4350781,342.0896843,331.2145419,365.9551491,305.1563191,263.3375218,318.7124535,291.4342628,297.4536181,288.6724626,388.7585388,396.9728916,397.3428422,443.507181,431.9654729,531.8746659,468.135325,305.4943608
146.8738633,258.5368887,248.4664983,212.8571963,191.3483295,221.4658871,166.1769055,165.5262031,165.1696866,132.3166621,136.2730631,146.1135259,126.9196678,112.6297253,166.9752222,99.45022648,67.19862926,110.8559702,86.9220513,93.12812956,82.88986686,239.2861848,247.808259,248.1307543,284.4825746,274.0417862,374.3581489,301.4310687
152.8143161,113.6916724,209.9089827,203.0271802,167.0109647,151.686413,198.4607717,105.383505,104.6926699,104.4483903,78.4304778,81.91289845,91.19639757,65.97565845,43.62158657,103.979318,51.9025222,26.47551157,64.78051761,40.10415849,47.3400467,31.34155171,193.5966995,201.025606,201.2795529,234.1639109,223.6805723,338.4570874
582.0809884,529.0668032,495.3557736,561.1077947,554.1473527,528.4866631,504.6867227,583.4298888,484.6119896,484.1386401,483.9451832,461.0442394,464.3295574,476.5280799,437.0747222,412.2476226,458.7968629,417.739757,395.4300658,434.9233092,406.1522611,417.4591913,400.8613698,542.3032657,548.1531118,548.3828356,581.4012105,569.4067457
820.9612525,617.6097144,571.9286817,548.8915762,615.3949567,610.4358087,570.5832312,530.5167779,614.1165067,546.4080215,546.033153,545.8628724,524.2581068,528.5750163,547.6574337,503.8393568,484.692139,521.3913456,485.3677891,462.3660419,508.4126244,463.4544628,475.1849667,460.716228,572.0937656,577.385617,577.6162771,615.3941022
775.3469139,776.5819719,601.3589026,570.1418563,546.841502,594.2235654,586.5217136,519.431149,476.8935576,534.1747894,480.5531375,480.2231786,480.0625358,451.6738629,458.4268994,479.6204019,445.8269153,430.731337,462.9312672,425.7902449,398.9716866,470.9249115,424.2825529,434.5083284,423.1150105,523.8686672,529.1820851,529.4459938
639.210747,584.0130373,585.0772567,465.3350718,433.7613031,417.1603595,490.7475227,477.7816967,406.5532552,377.4071602,422.7709616,375.5732306,375.2619471,375.0508623,330.6418361,338.1419601,354.486866,327.8442368,314.5993574,347.7981429,304.494099,262.5869335,337.2356291,296.5763112,304.6285343,294.3219817,395.4862497,401.5655728
592.2408955,466.4277646,418.865242,419.5924976,298.4819988,275.9864459,250.2041929,374.0858746,360.3203685,311.51575,288.4335357,328.362714,283.8363433,283.4273166,283.0971121,233.7751217,239.5593861,252.4456346,229.0693581,215.413617,254.1212662,186.4535818,142.9765139,208.0496607,176.0327347,183.3168868,172.9683309,288.7149731
423.3346588,320.8404945,212.4303828,179.9275828,180.6631489,94.37482343,59.43789164,16.03427723,147.5564842,138.1245738,99.47381598,79.1568712,116.8260844,58.31841086,57.67856142,57.31182643,19.2735979,23.83388524,35.14029596,11.03887759,-4.8828385,55.60243626,-14.60017641,-52.50023073,-1.258787736,-30.22174058,-22.90790271,-34.74815637
485.8370674,455.1910799,366.874354,292.7901384,259.9159235,260.4399967,126.4290941,67.61386503,21.53328977,111.6502571,104.1806672,70.16030399,50.99328483,100.49065,8.965807571,8.255171687,7.972337413,-22.01682668,-18.01562481,-6.358484496,-34.45918863,-59.33875097,3.412388698,-57.7849956,-87.62915668,-41.27544054,-70.35642893,-61.98833423
800.056709,898.8215935,872.4146922,812.0616932,737.1309049,713.7088153,714.5227322,488.9195801,426.4768635,394.9031712,466.2711931,459.6964666,427.6016334,402.4161606,479.8459791,378.1957566,377.6476983,377.424713,351.1121826,355.2375034,368.8289795,324.9183095,299.1067232,353.808471,305.6189729,278.6215331,325.1641591,291.891277
815.1150374,852.3047728,937.4080692,919.3623856,858.3197228,804.9333335,768.557435,769.9276385,530.4101888,487.6254122,462.6206652,525.4387356,519.2361343,477.0635073,437.6653175,523.6611856,445.2662473,444.8341606,444.638513,417.5097569,422.3196157,443.5579028,398.0022763,375.5016669,418.5762165,374.9833318,347.8758668,401.1274029
801.1052179,770.9506576,802.9961471,861.1531848,842.9012903,799.4098572,716.4976187,655.2599343,656.7146464,492.6010211,458.7176697,436.7085133,495.9711225,487.8209013,421.849332,378.0925261,444.4144742,382.6082661,382.2291527,382.0274361,350.3970507,357.9130234,379.946927,340.2349409,322.5169765,361.4828083,317.7122653,286.697381
818.1069622,730.0111299,704.0276795,725.9266049,784.7482128,771.7441757,704.1993929,564.6192394,499.6046602,500.6014063,370.6318218,340.8077255,320.0442728,397.9153712,385.1658006,311.8958061,278.1495731,330.4374913,276.2086463,275.8177726,275.5825841,226.1563702,233.953902,253.1614103,221.8904549,205.8625399,244.9871729,194.907303
763.6271667,687.4972881,611.5872542,593.8309443,615.9801124,657.8890971,637.693054,523.9835302,375.7946326,331.2476558,332.0370276,217.6379131,189.5018409,162.2186536,284.0341279,269.8740742,213.3666062,186.7612315,232.638717,176.7276704,176.2719369,175.9044269,124.6266364,131.4239411,146.5487736,118.2606359,102.1674008,146.9316737
518.0575609,447.293104,381.6938411,329.8192029,311.8599887,327.6407398,392.7278861,358.7284807,238.0058096,136.4690855,101.1901618,101.8849662,-6.03923426,-43.0100473,-85.68973816,49.60216448,38.6816125,-5.868614901,-29.21220419,18.08842013,-47.10026515,-47.8124027,-48.19368009,-92.89382061,-87.5413255,-73.85919341,-102.2626165,-120.675619
443.0413375,437.4100222,376.4340126,331.6054459,279.1380276,266.3425182,290.8509633,400.4231331,364.3267808,281.6094873,201.197603,170.1451252,170.8006041,28.98815034,-28.8461068,-76.24744568,28.0927132,19.48300034,-19.6054254,-43.67314262,11.47634398,-90.388678,-91.12749324,-91.45986234,-126.6587088,-121.8167679,-108.0788757,-140.5765244
754.6609243,796.8788136,792.0264464,750.3572721,705.0164418,667.6346647,647.7624775,689.0216763,805.3518181,780.6191598,715.1113005,644.3328303,615.0379022,615.8992018,394.0588569,329.8264043,293.2694254,375.5307259,367.9765529,327.6755878,299.6141771,385.7917651,280.1107337,279.4666899,279.2049679,247.3636058,252.2252796,267.9434272
1066.250069,885.9339852,922.3121126,918.9961505,876.8508156,844.5465616,786.4904381,753.036234,796.8401347,876.5477356,856.9607372,799.3007768,732.5283211,694.0347708,695.3821208,448.9996107,399.4620982,370.6407445,442.8169133,435.0284068,388.0400728,344.1908034,433.5967271,341.4719123,340.964764,340.7280067,308.7568784,314.3193406
1110.980759,1058.870709,903.4967305,928.3564505,925.0025964,894.9750562,844.8046279,747.0689645,711.5514394,741.5651897,804.6895267,787.4490678,733.0526229,645.3135825,585.0972739,586.5936811,396.5779466,357.5228001,332.2349079,406.6500118,397.569114,324.144291,278.6523652,356.5897591,284.046649,283.5878756,283.3501534,246.7705308
1008.959713,1034.766494,989.8645331,883.6866207,908.8304169,906.4408763,859.80632,775.3459773,671.5823702,647.2463153,671.0156681,726.5776543,710.3129939,638.8360379,501.5839246,434.7058945,435.8599573,286.0524279,251.785393,225.7130599,312.4762862,298.2863106,222.1108887,182.454432,243.8257461,178.2022481,177.741605,177.4696163
985.3147204,880.7542994,902.9913749,872.3067226,764.9154974,782.8298491,779.1187504,700.6109373,610.9414194,539.8442123,520.5713034,541.493067,593.9102815,572.5385096,460.7255331,308.2892383,256.711397,257.6212548,126.1799394,90.84992679,60.45126276,196.0290539,181.3075014,114.903469,83.6762399,139.1935771,73.30263727,72.77559462
668.4843256,650.4203668,560.3231978,575.5193475,544.4840567,467.9703846,495.7924385,489.5449202,406.1950601,344.7549033,288.4495572,271.4855597,291.2231653,360.0994115,326.6670781,202.4842481,84.92194835,44.25821594,45.05652635,-90.46215377,-131.6546769,-179.1561806,-38.49945149,-51.33259928,-103.6220399,-131.8706221,-76.12702962,-151.5158521
485.7587109,553.4447318,537.8794583,476.3097579,491.6795566,469.5676563,350.7373719,397.5749272,390.9420869,333.8320613,285.1746044,235.614688,219.6108415,245.5460652,353.2906943,316.1597466,220.3871545,127.7015791,92.02316895,92.84624327,-65.15982412,-129.5280078,-178.8089859,-56.19497509,-66.30035717,-113.6021064,-141.9658128,-78.1870322
1324.649019,959.254123,1017.577519,1006.940679,944.6674109,955.6180238,921.2769272,721.2298698,770.9561776,766.4114588,721.1832439,678.354993,631.600135,610.5710727,651.1421143,770.8065161,742.170294,666.6636237,585.3411828,548.5560135,549.5156652,302.6125185,235.8330105,192.8735416,289.4251787,280.2837107,232.789188,200.3369809
1289.041898,1423.582928,1108.731043,1148.587501,1137.829111,1093.460902,1110.467855,1052.655696,840.2705381,874.3422296,870.7430451,830.9332099,790.5290096,729.0931027,696.1968773,741.2562874,833.5441661,810.9675005,744.7178527,660.8727556,617.9836134,619.4831826,363.3306908,305.117313,271.2891475,358.6310902,349.4523671,295.1117226
1326.008535,1191.272865,1307.203595,1092.04327,1132.355174,1124.69008,1055.783611,1084.414283,1023.036502,877.5135006,904.496535,901.3285359,863.7719111,810.6807715,714.5752292,678.0396991,712.7905299,785.5498681,765.7410733,697.4363336,599.6783415,532.6589899,534.2147351,310.9201612,265.0804005,234.4789754,322.1768712,311.6750764
1282.468001,1331.592255,1215.493809,1294.717389,1077.098391,1105.819656,1093.915308,977.9134286,1008.309926,966.2548265,851.0080638,874.758507,871.7698146,822.4203907,739.3687516,632.6310671,604.4540444,631.8514392,695.6905744,675.2673025,595.6283679,442.8699564,373.339964,374.6961463,198.8642286,157.3969487,126.6708107,227.0099637
1079.283704,1050.610874,1092.940047,1013.601855,1093.730737,938.6824198,983.2882528,963.2476566,840.0912467,860.9184533,827.6129687,726.172869,748.5790529,744.6519095,667.4535186,575.2138888,492.8953853,470.6807505,494.7192593,560.5387112,536.7264893,412.2812456,253.8002855,193.1892413,194.2571585,35.19718043,-6.439095117,-41.59426778
927.6589979,851.0106896,826.3040097,855.2304961,774.985693,832.0755991,591.2763397,666.3688607,645.092241,560.7073875,577.2014683,547.8860098,452.1873526,481.6290895,475.4857727,389.746935,318.6096574,253.7101286,234.2189799,259.0031734,335.7444223,298.5350123,169.4278719,31.27603034,-16.45175794,-15.48570526,-175.193916,-222.8318734
637.121556,908.9498411,842.90386,826.0200568,855.2770909,798.1045935,886.7686138,481.3906116,561.1145382,546.5361298,479.7076484,494.2257239,466.569501,340.8214172,386.8777746,380.0548236,313.9311032,257.8468013,200.9038729,180.8081006,209.7048765,329.622144,291.0188163,178.4728726,69.68606782,26.5108522,27.48084193,-155.2485891
1053.611425,1129.885208,1364.113023,1318.979182,1301.902445,1322.74738,1233.955091,1383.218189,952.8380971,1007.46369,995.918337,937.0959661,950.7923281,914.4520373,717.7415401,768.8931058,763.6310924,711.4994559,662.2910187,603.5816968,580.1513184,625.3059446,749.7154844,716.0639922,627.4403917,529.0303475,485.6791757,486.7889851
1298.55398,1180.549918,1246.27318,1406.337436,1360.687844,1348.521078,1380.894502,1231.415467,1389.884514,1094.99478,1138.255451,1128.093242,1072.600178,1090.597205,1033.749288,815.2767367,854.7259748,850.5774278,804.8370641,754.1021606,685.650866,649.0381318,695.884315,804.3352419,777.8365845,697.6664531,598.8553488,549.2553006
1324.376267,1288.830559,1187.149332,1232.062636,1393.955973,1361.431734,1342.536023,1397.035667,1238.337365,1346.917887,1113.380323,1151.458328,1141.871293,1068.95338,1097.106525,1033.96953,865.4785843,896.5801819,892.9402415,845.7809925,786.6273572,679.6641228,641.6798232,682.51682,767.9158251,743.9447741,663.4479175,550.393637
1214.266584,1266.771056,1236.142185,1166.656287,1212.082823,1327.427943,1276.915864,1245.105527,1302.966491,1194.228886,1280.219098,1074.659539,1110.582354,1097.984985,983.9178866,1015.18561,966.4929397,833.6554542,860.9440351,857.1911822,802.2065302,709.7719867,598.8017565,565.6898866,597.8467247,675.0998427,651.0311001,558.9309837
1127.641553,1059.168944,1104.410769,1083.479918,1013.199993,1045.56531,1224.703143,1139.667642,1105.895371,1145.540802,1059.42619,1135.114699,941.1896744,988.3922713,968.6859299,841.9996051,866.1139768,827.7248999,711.1731225,739.3082067,734.9326215,649.0126071,553.1153333,456.3797908,430.3060556,459.3955749,536.9635301,509.4253865
682.2653186,708.4882216,649.4870414,680.4039464,659.2339147,609.1611541,659.4264171,960.9993412,870.7191913,847.5789575,878.9761081,803.1781012,874.5826909,619.7651112,693.6051733,671.7187221,574.0153785,593.027038,559.3444135,439.1771511,471.9808502,465.1434814,376.0047803,292.4087133,216.2349145,192.648254,221.8563247,310.6053517
570.8629663,609.4435278,632.0391649,591.7195296,622.9897273,607.9065875,530.1406116,614.7606056,934.9333381,873.0747858,854.7489059,882.3846504,810.8767606,904.7024274,506.085675,588.0946525,571.215329,494.1864631,510.8673172,476.1398435,336.0325421,387.2921973,380.1986909,302.4942417,236.6670408,167.7591717,144.0763862,177.4946689
1128.732997,1217.438523,1250.682453,1266.123633,1225.343259,1247.622525,1224.197512,1093.28093,1183.119945,1402.497314,1353.508509,1337.378086,1363.449666,1269.488262,1416.261819,973.5461534,1036.793322,1023.485741,955.9005167,973.0988179,932.6088165,713.6746061,766.8545213,760.6709333,699.4830501,639.9348561,570.74616,543.6496075
1396.95701,1276.510589,1352.945981,1375.663885,1391.281514,1362.226475,1396.8275,1357.392225,1218.401233,1279.957527,1453.693166,1410.573263,1395.355811,1429.613879,1282.627987,1445.639081,1104.2068,1154.070576,1142.394488,1072.712742,1092.764855,1029.494445,802.3586455,848.716916,843.8476882,788.4962851,728.7054085,649.5434731
1462.211204,1386.616626,1282.830877,1335.064529,1358.042035,1369.169221,1324.045017,1382.294758,1340.427273,1245.192811,1293.942242,1446.864199,1406.184854,1386.189114,1439.779766,1276.532845,1402.250668,1133.067031,1176.817571,1164.779286,1083.53485,1114.868646,1049.228036,851.2280433,887.7325738,883.3278032,827.7508211,759.3413586
1178.767098,1367.189137,1302.051129,1231.127064,1283.957599,1300.32852,1317.609702,1241.644521,1303.486872,1274.799923,1199.379108,1242.288315,1386.55499,1333.10231,1301.822534,1361.341912,1235.442214,1334.557566,1098.375504,1143.483204,1129.447337,1002.493308,1035.000913,977.7803409,821.8664833,854.8889852,850.4662634,786.8781092
1076.373167,1046.629228,1208.987912,1164.474553,1092.740027,1130.380516,1155.80553,1184.897858,1104.247449,1146.620865,1123.902271,1057.516935,1097.997509,1287.563993,1203.946789,1169.206536,1215.109219,1115.850477,1202.814412,959.305883,1011.898561,989.965861,858.255953,886.5936502,841.5356679,700.4938417,733.6509234,728.5906862
735.1342119,640.2800935,614.6504655,725.6015154,680.5794947,629.4703657,687.9282841,730.7304992,761.617125,706.3567211,739.9142957,719.9174094,657.2894394,710.4809347,1007.023961,914.1561972,887.3637324,923.5531961,836.463451,926.1250442,642.209756,724.3920286,701.6376983,586.8228566,609.1371993,568.377127,426.7604993,464.6970252
