Date,Confirmed,Deaths,Recovered,Active,People_Tested,People_Hospitalized,Mortality_Rate,Total_Test_Results,Case_Fatality_Ratio,cumulative_Confirmed,cumulative_Deaths,cumulative_Recovered,cumulative_Active,cumulative_People_Tested,cumulative_People_Hospitalized
2021-04-21,8228652.0,169823.0,-9283484.0,-6661198.0,0.0,0.0,0.0,142064799.0,0.996428674215494,31937003.0,568740.0,0.0,0.0,0.0,0.0
2021-08-26,6638059.0,66317.0,0.0,0.0,0.0,0.0,0.0,122598791.0,-6.421082932508114,38575062.0,635057.0,0.0,0.0,0.0,0.0
2020-09-07,-32259978.0,-446037.0,2333551.0,1696771.0,89209058.0,0.0,152.72537273561036,-551069896.0,-86.86431493614297,6315084.0,189020.0,2333551.0,1696771.0,89209058.0,0.0
2021-10-04,37578098.0,515947.0,-2333551.0,-1696771.0,-89209058.0,0.0,-152.72537273561036,615344300.0,83.96415857786579,43893182.0,704967.0,0.0,0.0,0.0,0.0
2021-07-30,-8862799.0,-92165.0,0.0,0.0,0.0,0.0,0.0,-98577247.0,7.600879082154435,35030383.0,612802.0,0.0,0.0,0.0,0.0
2020-10-08,-27393229.0,-400123.0,3021252.0,2002170.0,120105857.0,0.0,143.30617855928847,-516767053.0,-91.56503766002022,7637154.0,212679.0,3021252.0,2002170.0,120105857.0,0.0
2021-12-12,42308243.0,586596.0,-3021252.0,-2002170.0,-120105857.0,0.0,-143.30617855928847,718035382.0,83.30347100878238,49945397.0,799275.0,0.0,0.0,0.0,0.0
2021-09-15,-8273631.0,-131764.0,0.0,0.0,0.0,0.0,0.0,-133467445.0,0.8818081716887463,41671766.0,667511.0,0.0,0.0,0.0,0.0
2021-02-04,-14866185.0,-205992.0,10971748.0,6793590.0,0.0,0.0,0.0,-261468240.0,9.673276290391001,26805581.0,461519.0,10971748.0,6793590.0,0.0,0.0
2021-08-21,10988079.0,166865.0,-10971748.0,-6793590.0,0.0,0.0,0.0,220793295.0,-6.222191007581117,37793660.0,628384.0,0.0,0.0,0.0,0.0
2021-04-28,-5487648.0,-54735.0,0.0,0.0,0.0,0.0,0.0,-105404798.0,5.1646011204707065,32306012.0,573649.0,0.0,0.0,0.0,0.0
2021-10-05,11684385.0,133225.0,0.0,0.0,0.0,0.0,0.0,180349261.0,-8.762942304606042,43990397.0,706874.0,0.0,0.0,0.0,0.0
2021-01-26,-18424589.0,-274901.0,10173805.0,6734658.0,0.0,0.0,0.0,-311500869.0,8.501285663237525,25565808.0,431973.0,10173805.0,6734658.0,0.0,0.0
2021-10-07,18635893.0,280011.0,-10173805.0,-6734658.0,0.0,0.0,0.0,314159714.0,-8.412560650503849,44201701.0,711984.0,0.0,0.0,0.0,0.0
2020-09-09,-37826000.0,-521373.0,2387479.0,1683792.0,90456769.0,0.0,152.9634441936162,-621496300.0,-84.12674829187935,6375701.0,190611.0,2387479.0,1683792.0,90456769.0,0.0
2020-08-17,-919319.0,-20297.0,-521899.0,-54349.0,-17884224.0,348961.0,4.223532582885184,0.0,0.0,5456382.0,170314.0,1865580.0,1629443.0,72572545.0,348961.0
2021-03-05,23575431.0,353388.0,9016586.0,372813.0,-72572545.0,-348961.0,-157.18697677650138,365767630.0,96.13145742298565,29031813.0,523702.0,10882166.0,2002256.0,0.0,0.0
2021-05-24,4189757.0,65838.0,-10882166.0,-2002256.0,0.0,0.0,0.0,102906784.0,-3.8535419469329355,33221570.0,589540.0,0.0,0.0,0.0,0.0
2020-09-01,-27134143.0,-405160.0,2202663.0,1684961.0,84431520.0,0.0,153.93904703156943,-468674414.0,-92.27791547605271,6087427.0,184380.0,2202663.0,1684961.0,84431520.0,0.0
2021-10-09,38273581.0,529859.0,-2202663.0,-1684961.0,-84431520.0,0.0,-153.93904703156943,625189250.0,84.11693982773048,44361008.0,714239.0,0.0,0.0,0.0,0.0
2021-08-15,-7566390.0,-92908.0,0.0,0.0,0.0,0.0,0.0,-94287126.0,4.690799142862701,36794618.0,621331.0,0.0,0.0,0.0,0.0
2021-02-28,-8076892.0,-107138.0,10717872.0,2036515.0,0.0,0.0,0.0,-171858452.0,6.945796262686812,28717726.0,514193.0,10717872.0,2036515.0,0.0,0.0
