date,h1
10/7/2020,975.4210682
10/8/2020,816.9889544
10/9/2020,894.3974222
10/10/2020,799.2871988
10/11/2020,319.161336
10/12/2020,369.272068
10/13/2020,702.9319531
10/14/2020,935.0370465
10/15/2020,810.3072492
10/16/2020,889.0167533
10/17/2020,706.080562
10/18/2020,452.1836036
10/19/2020,330.7721717
10/20/2020,794.9178614
10/21/2020,911.4357194
10/22/2020,947.1644258
10/23/2020,998.4577544
10/24/2020,797.5552833
10/25/2020,460.1202713
10/26/2020,392.662837
10/27/2020,901.1178942
10/28/2020,1093.623781
10/29/2020,1032.825362
10/30/2020,963.4844475
10/31/2020,891.5813862
11/1/2020,443.3951808
11/2/2020,406.3099312
11/3/2020,964.5758471
11/4/2020,1383.31778
11/5/2020,1137.887879
11/6/2020,1000.518349
11/7/2020,1057.932857
11/8/2020,505.2552704
11/9/2020,487.4030015
11/10/2020,1432.494422
11/11/2020,1219.389323
11/12/2020,1356.854732
11/13/2020,1135.309661
11/14/2020,1193.899547
11/15/2020,714.3787989
11/16/2020,643.637776
11/17/2020,1350.895122
11/18/2020,1648.604762
11/19/2020,1470.986471
11/20/2020,1708.888816
11/21/2020,1596.880551
11/22/2020,977.7805333
11/23/2020,753.9972925
11/24/2020,1311.1868
11/25/2020,2151.755011
11/26/2020,2148.874654
11/27/2020,1657.176332
11/28/2020,1445.102389
11/29/2020,834.079049
11/30/2020,794.1370299
12/1/2020,1964.397083
12/2/2020,2463.066793
12/3/2020,2162.458495
12/4/2020,2261.216927
12/5/2020,2095.525462
12/6/2020,1629.962994
12/7/2020,1185.863089
12/8/2020,2466.775643
12/9/2020,2944.952685
12/10/2020,2728.745852
12/11/2020,2725.346233
12/12/2020,2455.693496
12/13/2020,1526.106094
12/14/2020,1522.637831
12/15/2020,2675.36142
12/16/2020,3418.415605
12/17/2020,3656.189477
12/18/2020,3466.506909
12/19/2020,3009.991137
12/20/2020,1807.522685
12/21/2020,1655.291196
12/22/2020,2970.976446
12/23/2020,3687.30971
12/24/2020,3592.491378
12/25/2020,2817.586802
12/26/2020,1927.606035
12/27/2020,998.9225124
12/28/2020,1425.206843
12/29/2020,3061.59858
12/30/2020,3551.12497
12/31/2020,3433.324968
1/1/2021,2171.407683
1/2/2021,2125.848975
1/3/2021,1690.22692
1/4/2021,1469.945509
1/5/2021,3208.715488
1/6/2021,3868.774164
1/7/2021,3340.212018
1/8/2021,2828.2803
1/9/2021,3259.850624
1/10/2021,2458.996381
1/11/2021,1964.83611
1/12/2021,3465.118462
1/13/2021,4385.888785
1/14/2021,3981.277407
1/15/2021,3432.695078
1/16/2021,3462.098022
1/17/2021,2538.492013
1/18/2021,1907.563042
1/19/2021,3592.086332
1/20/2021,2964.732302
1/21/2021,4191.498071
1/22/2021,3572.554366
1/23/2021,3882.99815
1/24/2021,2423.455728
1/25/2021,1685.848457
1/26/2021,2889.746985
1/27/2021,4496.974136
1/28/2021,3986.085817
1/29/2021,3954.100168
1/30/2021,3607.690233
1/31/2021,1916.271549
2/1/2021,1730.690918
2/2/2021,3327.51437
2/3/2021,4229.668699
2/4/2021,3716.306701
2/5/2021,4491.184113
2/6/2021,3322.774893
2/7/2021,1945.283574
2/8/2021,1347.734304
2/9/2021,3191.095198
2/10/2021,3582.109274
2/11/2021,4247.638209
2/12/2021,3418.577506
2/13/2021,4331.362896
2/14/2021,2077.826439
2/15/2021,1284.793535
2/16/2021,2902.106303
2/17/2021,2712.919211
2/18/2021,3225.14414
2/19/2021,3781.025254
2/20/2021,2694.836259
2/21/2021,1197.120922
2/22/2021,1104.231676
2/23/2021,2279.942986
2/24/2021,2760.775204
2/25/2021,2828.291758
2/26/2021,2911.854674
2/27/2021,1906.047204
2/28/2021,888.4398014
3/1/2021,1005.563766
3/2/2021,2510.890235
3/3/2021,2423.298901
3/4/2021,2958.586762
3/5/2021,1849.10004
3/6/2021,1861.312982
3/7/2021,752.5204653
