date,h1
10/17/20,746.9494749
10/18/20,393.7073394
10/19/20,390.6156968
10/20/20,820.3352087
10/21/20,1000.763164
10/22/20,976.712561
10/23/20,1008.957135
10/24/20,822.3948909
10/25/20,504.7400391
10/26/20,385.4505031
10/27/20,809.9316627
10/28/20,1091.538661
10/29/20,1074.81767
10/30/20,973.1531623
10/31/20,845.4001727
11/1/20,526.4039432
11/2/20,388.4105515
11/3/20,1198.215547
11/4/20,1418.962859
11/5/20,1161.885826
11/6/20,1075.31652
11/7/20,1080.664954
11/8/20,635.3319749
11/9/20,560.0218638
11/10/20,1249.874055
11/11/20,1298.310547
11/12/20,1155.701304
11/13/20,1191.929168
11/14/20,1203.876118
11/15/20,768.5427145
11/16/20,720.0217161
11/17/20,1315.611104
11/18/20,1689.485145
11/19/20,1855.65073
11/20/20,1790.715856
11/21/20,1838.180153
11/22/20,1014.879014
11/23/20,931.1135802
11/24/20,1913.803579
11/25/20,2090.952498
11/26/20,1717.301323
11/27/20,1603.563609
11/28/20,1415.515739
11/29/20,827.1774352
11/30/20,883.9696779
12/1/20,2085.52627
12/2/20,2527.3496
12/3/20,2524.574365
12/4/20,2445.43382
12/5/20,2228.548397
12/6/20,1587.512603
12/7/20,1362.311762
12/8/20,2436.257496
12/9/20,2980.292006
12/10/20,2925.746284
12/11/20,2867.313806
12/12/20,2580.633301
12/13/20,1706.540516
12/14/20,1448.008177
12/15/20,2751.088786
12/16/20,3287.486169
12/17/20,3394.820029
12/18/20,3085.880832
12/19/20,2702.915994
12/20/20,1853.04691
12/21/20,1683.419304
12/22/20,2995.626636
12/23/20,3407.858705
12/24/20,3086.509712
12/25/20,2013.474371
12/26/20,2003.501378
12/27/20,1173.815518
12/28/20,1373.562023
12/29/20,2884.090015
12/30/20,3598.643892
12/31/20,3309.288177
1/1/21,2537.419183
1/2/21,2377.990989
1/3/21,1742.719458
1/4/21,1570.321707
1/5/21,3251.771964
1/6/21,3771.196033
1/7/21,3688.529297
1/8/21,3399.912089
1/9/21,3270.036278
1/10/21,2327.531879
1/11/21,2036.338999
1/12/21,3768.201989
1/13/21,4255.595776
1/14/21,3947.067462
1/15/21,3469.579722
1/16/21,3583.20174
1/17/21,2398.042318
1/18/21,1841.190204
1/19/21,3128.850838
1/20/21,3532.494952
1/21/21,3978.728116
1/22/21,3686.852029
1/23/21,3663.834373
1/24/21,2071.812929
1/25/21,1626.416266
1/26/21,3244.212719
1/27/21,4107.165295
1/28/21,3943.169471
1/29/21,3870.042617
1/30/21,3226.778627
1/31/21,1917.205895
2/1/21,1716.175593
2/2/21,3398.896774
2/3/21,3865.761452
2/4/21,4049.692097
2/5/21,4129.361408
2/6/21,3157.138646
2/7/21,2043.983086
2/8/21,1394.326837
2/9/21,2909.577677
2/10/21,3643.378445
2/11/21,3854.918758
2/12/21,4247.816929
2/13/21,3994.029441
2/14/21,1558.827191
2/15/21,1220.239436
2/16/21,1935.752061
2/17/21,2569.838121
2/18/21,3030.224115
2/19/21,2818.192206
2/20/21,1955.589536
2/21/21,955.6895279
2/22/21,1084.925722
2/23/21,2133.084709
2/24/21,2624.374378
2/25/21,2955.451193
2/26/21,2568.150219
2/27/21,1831.45461
2/28/21,864.6952362
3/1/21,1037.6006
3/2/21,1963.832009
3/3/21,2292.497208
3/4/21,2296.056869
3/5/21,2028.64598
3/6/21,1655.388071
3/7/21,673.036526
