date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2336.0,-3.72,-3.72,-6.953581
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4750.6,-3.77,-3.82,-14.141131
2020-01-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7020.4004,-3.74,-3.68,-20.897655
2020-01-31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8615.0,-3.47,-2.62,-25.644306
2020-02-07,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10206.0,-3.31,-2.63,-30.380243
2020-02-14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11297.8,-3.06,-1.8,-33.630207
2020-02-21,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12720.399,-2.96,-2.36,-37.864864
2020-02-28,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13342.999,-2.73,-1.05,-39.718163
2020-03-06,192.0,13.0,7.14,0.0,0.0,5095.0,0.0,0.0,0.0,0.0,0.0,0.0,-13282.599,-2.42,0.1,-39.53837
2020-03-13,1978.0,38.0,23.990000000000002,0.0,0.0,34738.0,0.754,65.0,0.0,0.0,0.0,0.0,-13012.198,-2.14,0.46,-38.733463
2020-03-20,15509.0,162.0,24.62,0.0,0.0,282052.0,0.741,66.6,0.0,0.0,0.0,0.0,-12735.398,-1.91,0.47,-37.909515
2020-03-27,69748.0,1065.0,19.53,0.0,0.0,714057.0,1.068,46.3,0.0,0.0,0.0,0.0,-11557.198,-1.6,2.03,-34.40236
2020-04-03,153122.0,4783.0,13.51,0.0,0.0,982034.0,1.355,36.2,0.0,0.0,0.0,0.0,-5827.7983,-0.75,10.0,-17.347631
2020-04-10,213097.0,12105.0,9.42,0.0,0.0,1124042.0,1.454,33.8,0.0,0.0,0.0,0.0,9270.602,1.11,26.4,27.595839
2020-04-17,202262.0,15588.0,7.41,0.0,0.0,1154187.0,1.3760000000000001,35.7,0.0,0.0,0.0,0.0,31563.402,3.52,39.25,93.95491
2020-04-24,198986.0,15593.0,7.1,0.0,0.0,1412636.0,1.208,40.7,0.0,0.0,0.0,0.0,52700.0,5.54,37.97,156.87231
2020-05-01,202122.0,13531.0,6.84,0.0,0.0,1841549.0,1.024,48.0,0.0,0.0,0.0,0.0,71560.4,7.11,34.26,213.01413
2020-05-08,189164.0,13258.0,6.53,0.0,0.0,2172648.0,0.839,58.7,0.0,0.0,0.0,0.0,85786.195,8.08,25.83,255.36012
2020-05-15,165146.0,10329.0,6.42,0.0,0.0,2673390.0,0.648,76.1,0.0,0.0,0.0,0.0,98345.4,8.82,23.15,292.74515
2020-05-22,175442.0,9157.0,6.63,0.0,0.0,2873271.0,0.557,88.1,0.0,0.0,0.0,0.0,109125.195,9.33,20.07,324.83344
2020-05-29,150667.0,7401.0,6.63,0.0,0.0,3165814.0,0.49,100.1,0.0,0.0,0.0,0.0,117156.8,9.58,14.99,348.74112
2020-06-05,152342.0,6528.0,6.99,0.0,0.0,3564349.0,0.441,111.3,0.0,0.0,0.0,0.0,123636.195,9.69,12.18,368.02838
2020-06-12,146014.0,5508.0,7.13,0.0,0.0,3741162.0,0.40700000000000003,120.1,0.0,0.0,0.0,0.0,128878.99,9.69,9.77,383.63464
2020-06-19,169619.0,4680.0,7.95,0.0,0.0,4237772.0,0.448,110.0,0.0,0.0,0.0,0.0,133720.39,9.67,9.1,398.04605
2020-06-26,226342.0,4240.0,8.88,0.0,0.0,4604062.0,0.546,89.8,0.0,0.0,0.0,0.0,138653.6,9.66,9.3,412.73074
2020-07-03,319909.0,6176.0,8.88,0.0,0.0,5327263.0,0.639,76.9,0.0,0.0,0.0,0.0,144215.8,9.69,10.51,429.28775
2020-07-10,377501.0,5118.0,8.42,0.0,0.0,5787782.0,0.726,67.4,0.0,0.0,0.0,0.0,150892.39,9.79,12.56,449.16202
2020-07-17,450656.0,6421.0,8.01,29742.0,112361.0,6524001.0,0.723,67.7,0.0,0.0,0.0,0.0,160015.19,10.03,17.27,476.31787
2020-07-24,467740.0,7358.0,7.42,84009.0,302301.0,6845504.0,0.677,72.4,0.0,0.0,0.0,0.0,170719.78,10.36,20.4,508.18228
2020-07-31,443219.0,7915.0,6.91,98890.0,328810.0,6397493.0,0.629,78.1,0.0,0.0,0.0,0.0,182603.58,10.74,22.7,543.5568
