SEQNUM,date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
73,3/25/2020,1058,241,74,0,1954,5140,7073,220861,40829,0,167,74404,12631,56,563119,82630
74,3/26/2020,1371,313,91,1299,2449,7805,9522,274608,53747,0,258,92020,17616,56,669006,105887
75,3/27/2020,1781,410,124,1792,2589,10887,12111,332449,57841,0,293,111274,19254,56,768774,99768
76,3/28/2020,2332,551,140,2174,2406,12393,14517,412642,80193,0,390,131045,19771,56,879871,111097
77,3/29/2020,2837,505,156,2456,2797,14055,17314,463603,50961,0,433,150709,19664,56,987327,107456
78,3/30/2020,3422,585,187,3087,2473,15892,19787,528622,65019,0,449,171911,21202,56,1089940,102617
79,3/31/2020,4330,908,230,3487,3995,18155,23782,590103,61481,0,506,196848,24937,56,1205470,115523
80,4/1/2020,5336,1006,256,3937,4148,20906,27930,651323,61220,32,561,223119,26271,56,1325300,119831
81,4/2/2020,6511,1175,305,4513,4164,22995,32094,715241,63918,32,576,251182,28063,56,1452320,127024
82,4/3/2020,7798,1287,335,4928,4621,25723,36715,784316,69075,39,623,283072,31890,56,1592210,139887
83,4/4/2020,9276,1478,403,5500,4993,30456,41708,854892,70576,39,656,316130,33058,56,1725240,133030
84,4/5/2020,10618,1342,609,5811,3953,32180,45661,921677,66785,39,650,342040,25910,56,1847730,122487
85,4/6/2020,11932,1314,663,7079,2962,36159,48623,1005900,84223,39,2961,370283,28243,56,1986540,138816
86,4/7/2020,13970,2038,738,9978,2931,43849,51554,1101650,95751,43,4047,400759,30476,56,2152180,165633
87,4/8/2020,15973,2003,862,10276,4387,45359,55941,1184870,83214,39,4142,431718,30959,56,2316210,164031
88,4/9/2020,18024,2051,918,12445,3829,51323,59770,1267900,83034,39,5798,466834,35116,56,2491670,175468
89,4/10/2020,20107,2083,1179,12693,4911,53167,64681,1347850,79952,39,5937,500442,33608,56,2651040,159363
90,4/11/2020,22182,2075,1399,13293,3735,55563,68416,1428110,80262,152,5986,531705,31263,56,2799540,148501
91,4/12/2020,23882,1700,1449,13597,3322,55294,71738,1513980,85868,158,5962,559820,28115,56,2938950,139414
92,4/13/2020,25515,1633,1622,13605,4491,56211,76229,1594300,80318,208,6170,584101,24281,56,3064350,125399
93,4/14/2020,27867,2352,1715,14047,3172,59610,79401,1681230,86930,221,5981,609975,25874,56,3223440,159086
94,4/15/2020,30412,2545,1783,14639,3502,59930,82903,1759120,77893,223,6033,639896,29921,56,3375100,151658
95,4/16/2020,32606,2194,1834,15136,3172,59496,86075,1843050,83930,176,5940,671423,31527,56,3557150,182050
96,4/17/2020,34724,2118,2052,14910,3366,58892,89441,1929630,86579,187,6098,703407,31984,56,3725700,168553
97,4/18/2020,36619,1895,2096,14764,3440,57799,92881,2017610,87977,205,5733,731357,27950,56,3893840,168138
98,4/19/2020,38382,1763,2145,14385,2177,56497,95058,2105640,88031,214,5603,758880,27523,56,4041340,147507
99,4/20/2020,40198,1816,2193,14463,2309,56721,97367,2194030,88392,214,5569,784847,25967,56,4186820,145474
100,4/21/2020,42103,1905,2315,14945,2736,59779,100103,2283950,89917,214,5514,810886,26039,56,4354600,167784
101,4/22/2020,44188,2085,2370,15016,3086,59207,103189,2383170,99218,227,5474,840062,29176,56,4697590,342986
102,4/23/2020,45997,1809,2428,14737,2820,59214,106009,2485100,101935,227,5463,872015,31953,56,4910660,213073
103,4/24/2020,47971,1974,2468,14623,2388,57370,108397,2610400,125303,227,5194,906241,34226,56,5151790,241130
104,4/25/2020,49600,1629,2516,14411,2297,57340,110694,2724830,114429,227,5266,941975,35734,56,5426110,274315
105,4/26/2020,50819,1219,2571,14093,2215,56161,112909,2835620,110791,227,5119,969289,27314,56,5628810,202703
106,4/27/2020,52109,1290,3720,13812,2245,56183,115154,2951850,116223,252,4867,991696,22407,56,5820190,191385
107,4/28/2020,54187,2078,3798,13562,2014,56034,117168,3066080,114236,252,4760,1016930,25234,56,6044550,224357
108,4/29/2020,56863,2676,4093,13550,2181,56009,119349,3194670,128582,365,4803,1043110,26176,56,6300880,256326
109,4/30/2020,59023,2160,4192,13246,2382,54905,121731,3321090,126428,373,4708,1073150,30046,56,6576410,275532
110,5/1/2020,60832,1809,4300,12861,2114,54897,123845,3467710,146618,376,4712,1105960,32808,56,6860180,283769
111,5/2/2020,62359,1527,4386,12904,1995,54008,125840,3590220,122506,375,4846,1135160,29196,56,7127960,267778
112,5/3/2020,63607,1248,4502,12724,1855,52623,127695,3728420,138204,425,4762,1160950,25789,56,7365670,237719
113,5/4/2020,64635,1028,4579,12701,1765,52375,129460,3850560,122137,430,4852,1183140,22195,56,7596850,231177
114,5/5/2020,67125,2490,4794,12620,1932,53164,131392,3997100,146546,439,4810,1205480,22344,56,7879400,282550
115,5/6/2020,69043,1918,4911,12480,1809,52609,133201,4143170,146062,449,4758,1230740,25256,56,8169770,290370
116,5/7/2020,71791,2748,5174,12135,1757,51445,134958,4288470,145307,529,7067,1257970,27229,56,8497030,327261
117,5/8/2020,73575,1784,6294,11786,1705,49770,136663,4447280,158802,531,6793,1285170,27197,56,8809440,312403
118,5/9/2020,75031,1456,6367,11504,1680,48581,138343,4608090,160818,543,6550,1310490,25320,56,9129380,319941
119,5/10/2020,76066,1035,6445,11382,1573,46735,139916,4749890,141794,547,6392,1331600,21116,56,9405420,276040
120,5/11/2020,76957,891,6488,11153,1374,46550,141290,4913630,163739,551,6349,1349740,18140,56,9777630,372212
121,5/12/2020,78466,1509,6585,11241,1486,47343,142776,5088450,174820,559,6350,1372180,22442,56,10121100,343475
122,5/13/2020,80196,1730,6713,10991,1786,46921,144562,5267220,178771,572,6164,1393680,21500,56,10463500,342370
123,5/14/2020,82049,1853,6795,10655,1544,45923,146106,5470700,203478,582,5940,1420460,26773,56,10853000,389567
124,5/15/2020,83587,1538,6890,10476,1314,44553,147420,5666160,195461,589,5744,1445950,25490,56,11260500,407466
125,5/16/2020,84824,1237,6945,10276,1796,43515,149216,5860110,193950,592,5532,1469690,23743,56,11645900,385388
126,5/17/2020,85697,873,7003,9945,1134,42019,150350,6056460,196357,593,5467,1490130,20436,56,11997100,351224
127,5/18/2020,86551,854,7064,9748,1132,41940,151482,6245580,189113,602,5260,1510720,20597,56,12347200,350063
128,5/19/2020,87868,1317,7217,9598,1548,42023,153030,6476530,230957,606,5032,1531410,20687,56,12768900,421683
129,5/20/2020,89265,1397,7319,9522,1756,41856,154786,6722020,245484,613,4907,1552700,21293,56,13233900,465041
130,5/21/2020,90645,1380,7412,9092,4547,41359,159333,6953960,231940,616,4871,1579530,22048,56,13740200,506320
131,5/22/2020,91935,1290,7689,9042,3949,40008,163282,7201540,247587,633,4714,1603650,24115,56,14193500,453236
132,5/23/2020,92975,1040,7770,8739,1385,38625,164667,7403080,201532,638,4621,1626210,22561,56,14645800,452354
133,5/24/2020,93663,688,7801,8491,1028,37742,165695,7594050,190971,639,4380,1645270,19062,56,15034500,388719
134,5/25/2020,94219,556,7847,8467,898,37703,166593,7822510,228459,642,4232,1663830,18555,56,15446400,411853
135,5/26/2020,94884,665,7899,8580,1344,37751,167937,7984830,162320,650,4221,1680520,16690,56,15762900,316497
136,5/27/2020,96219,1335,8015,8552,1561,38300,169498,8199550,214726,666,4223,1699690,19172,56,16188800,425917
137,5/28/2020,97454,1235,8109,8392,1594,38000,171092,8458800,259250,676,4079,1722490,22799,56,16678800,490016
138,5/29/2020,98628,1174,8235,8170,1571,36942,172663,8727010,268204,689,4028,1746110,23618,56,17214600,535797
139,5/30/2020,99551,923,8305,7960,1421,35759,174084,8968890,241884,698,4008,1769700,23596,56,17668800,454146
140,5/31/2020,100206,655,8445,7625,895,34925,174979,9178500,209610,704,3669,1791340,21641,56,18095900,427109
141,6/1/2020,100885,679,8485,7592,1456,34325,176435,9402330,223825,704,3950,1811440,20101,56,18514100,418259
142,6/2/2020,101856,971,8566,7410,1735,33956,178170,9639350,237025,710,3854,1831320,19879,56,18974800,460691
143,6/3/2020,102831,975,8688,7229,2145,33227,180315,9902550,263199,717,3754,1851510,20182,56,19478200,503370
144,6/4/2020,103714,883,8787,7044,1612,32802,181927,10158600,256080,723,3662,1871980,20477,56,19984000,505813
145,6/5/2020,104549,835,8863,6921,1518,32502,183445,10457900,299258,740,3520,1895030,23050,56,20597400,613366
146,6/6/2020,105263,714,8920,6762,989,31994,184434,10758800,300867,750,3476,1917780,22746,56,21165400,568044
147,6/7/2020,106024,761,8957,6501,655,31490,185089,11010500,251709,753,3298,1936830,19056,56,21598400,433033
148,6/8/2020,106699,675,9013,6398,1071,31105,186160,11209900,199434,762,3238,1953760,16923,56,22004900,406502
149,6/9/2020,107585,886,9141,6453,1279,31179,187439,11434400,224509,771,3088,1970670,16916,56,22460200,455278
150,6/10/2020,108478,893,9225,6256,1239,30961,188678,11662600,228219,780,3022,1991550,20880,56,22942500,482269
151,6/11/2020,109374,896,9295,6075,1526,29850,190204,11890600,228008,792,2885,2013540,21991,56,23428900,486437
152,6/12/2020,110140,766,9373,6009,1376,29306,191580,12125400,234770,814,2738,2036690,23141,56,23928100,499191
153,6/13/2020,110834,694,9430,5883,954,28578,192534,12364600,239199,830,2726,2062140,25453,56,24470500,542347
154,6/14/2020,111189,355,9466,5749,610,28020,193144,12613600,249016,834,2716,2083800,21658,56,24950800,480299
155,6/15/2020,111574,385,9516,5700,664,28034,193808,12846800,233173,835,2636,2102050,18255,56,25399400,448589
156,6/16/2020,112294,720,9590,5570,1184,28370,194992,13096200,249410,845,2591,2124890,22838,56,25904800,505403
157,6/17/2020,113074,780,9665,5608,1077,28647,196069,13370300,274054,857,2584,2149040,24153,56,26463200,558467
158,6/18/2020,113756,682,9736,5472,1108,28538,197177,13624500,254224,869,2518,2176080,27042,56,27022100,558903
159,6/19/2020,114408,652,9876,5337,1578,28693,198755,13886700,262224,884,2433,2206950,30865,56,27679100,656946
160,6/20/2020,115023,615,9908,5229,699,28084,199454,14169000,282338,888,2380,2239190,32236,56,28289100,609993
161,6/21/2020,115316,293,9944,5195,519,28325,199973,14411300,242305,904,2321,2268370,29188,56,28791400,502364
162,6/22/2020,115604,288,10002,5325,824,28963,200797,14643200,231859,909,2301,2295200,26829,56,29285000,493615
163,6/23/2020,116328,724,10077,5392,1271,30355,202068,14873800,230594,918,2292,2328650,33447,56,29946600,661579
164,6/24/2020,117032,704,10173,5292,1246,31270,203314,15150100,276303,934,2247,2367770,39117,56,30508300,561704
165,6/25/2020,117680,648,10257,5319,1296,31922,204610,15495200,345056,951,2214,2407470,39707,56,31218400,710078
166,6/26/2020,118298,618,10334,5290,1542,31850,206152,15826100,330949,966,2069,2451810,44340,56,32014900,796499
167,6/27/2020,118806,508,10415,5314,1058,32566,207210,16129600,303524,977,2159,2494870,43058,56,32732600,717648
168,6/28/2020,119079,273,10473,5252,547,32575,207757,16430200,300531,983,2077,2536620,41745,56,33342900,610384
169,6/29/2020,119415,336,10542,5389,731,33742,208488,16792500,362304,990,2021,2576010,39398,56,34018800,675879
170,6/30/2020,119994,579,10669,5426,1473,35337,209961,17123700,331248,1008,2044,2623020,47010,56,34735000,716184
171,7/1/2020,120692,698,10752,5492,1429,36526,211390,17473300,349596,1027,2099,2674070,51046,56,35473500,738472
172,7/2/2020,121391,699,10843,5636,1697,37646,213087,17827000,353717,1041,2104,2727580,53511,56,36253100,779577
173,7/3/2020,121994,603,10936,5597,1358,37927,214445,18192500,365468,1059,2049,2781780,54199,56,37041000,787952
174,7/4/2020,122290,296,10977,5633,872,38281,215317,18503600,311088,1063,1982,2836660,54881,56,37723200,682206
175,7/5/2020,122499,209,11010,5653,582,38872,215899,18824900,321291,1064,2080,2882000,45334,56,38366900,643685
176,7/6/2020,122736,237,11058,5678,762,39960,216661,19069400,244479,1070,2104,2922920,40925,56,39017200,650271
177,7/7/2020,123641,905,11177,5838,1976,41949,218637,19370700,301351,1084,2102,2973910,50990,56,39752700,735536
178,7/8/2020,124460,819,11303,5872,1890,43207,220527,19706900,336162,1103,2167,3036720,62813,56,40537500,784826
179,7/9/2020,125323,863,11370,5843,1661,44051,222188,20118800,411905,1138,2129,3095790,59062,56,41387700,850156
180,7/10/2020,126162,839,11523,5899,2196,51724,224384,20525600,406788,1118,2192,3162900,67111,56,42293100,905374
181,7/11/2020,126917,755,11612,5939,1577,51982,225961,20894300,368719,1128,2169,3225470,62569,56,43117100,824020
182,7/12/2020,127389,472,11679,5930,894,52860,226855,21294100,399792,1136,2182,3287070,61605,56,43938400,821351
183,7/13/2020,127718,329,11749,6063,1120,54118,227975,21631800,337758,1142,2254,3344230,57160,56,44694100,755669
184,7/14/2020,128459,741,11857,6238,2246,55678,230221,22014900,383078,1154,2263,3402840,58609,56,45545100,850964
185,7/15/2020,129322,863,12002,6328,2388,56340,232609,22431200,416286,1166,2322,3472210,69373,56,46461900,916879
186,7/16/2020,130263,941,12091,6349,2210,57602,234819,22863700,432515,1175,2314,3542700,70489,56,47411700,949756
187,7/17/2020,131202,939,12243,6451,2485,57871,237304,23284500,420833,1200,2352,3619230,76524,56,48351500,939851
188,7/18/2020,132078,876,12342,6397,1992,57822,239296,23640400,355850,1211,2343,3683980,64750,56,49212200,860699
189,7/19/2020,132605,527,12393,6384,2262,58052,241558,24045800,405435,1216,2362,3748210,64230,56,50014900,802635
190,7/20/2020,132981,376,12475,6551,2339,58518,243897,24415500,369701,1223,2403,3804870,56663,56,50756000,741162
191,7/21/2020,134022,1041,12629,6717,2551,59476,246448,24776300,360741,1242,2414,3867790,62920,56,51590900,834889
192,7/22/2020,135171,1149,12790,10460,2238,59758,248686,25187100,410868,1258,2444,3937210,69422,56,52500200,909265
193,7/23/2020,136241,1070,12933,10423,2373,59860,251059,25656100,468926,1280,2467,4008650,71436,56,53439400,939239
194,7/24/2020,137416,1175,13182,10389,3063,59800,254122,26129200,473177,1297,2709,4083710,75061,56,54454300,1014860
195,7/25/2020,138430,1014,13279,10380,1820,59382,255942,26496700,367424,1300,2729,4148550,64845,56,55330800,876507
196,7/26/2020,139506,1076,13343,10353,1380,58731,257322,26976500,479870,1336,2723,4209320,60768,56,56193900,863112
197,7/27/2020,140572,1066,13412,10328,1631,58987,258953,27375200,398659,1356,2723,4263800,54479,56,56983100,789217
198,7/28/2020,141683,1111,13559,10463,4068,57185,263021,27736700,361538,1372,2748,4322260,58457,56,57827900,844755
199,7/29/2020,142844,1161,13744,10535,2860,57422,265881,28198900,462170,1400,2771,4386400,64143,56,58741700,913850
200,7/30/2020,144092,1248,13875,10519,3291,56571,269172,28601600,402674,1415,2762,4455360,68961,56,59637400,895638
201,7/31/2020,145420,1328,14044,10473,2532,55721,271704,28869100,267549,1437,2701,4523190,67827,56,60633200,995792
202,8/1/2020,146621,1201,14227,10450,2386,54554,274090,29242000,372834,1445,2698,4583870,60679,56,61441200,808012
203,8/2/2020,147117,496,14288,10415,831,54106,274921,29615400,373458,1448,2645,4637170,53301,56,62229800,788606
204,8/3/2020,147633,516,14370,10233,1558,53517,276479,29958500,343116,1463,2664,4679910,42738,56,62969700,739874
205,8/4/2020,148874,1241,14537,10207,1852,53436,278331,30321600,363055,1493,2701,4731100,51198,56,63767400,797783
206,8/5/2020,150229,1355,14687,9988,2118,53435,280449,30686200,364580,1524,2721,4783800,52698,56,64591300,823818
207,8/6/2020,151470,1241,14810,9996,2615,53219,283064,31094100,407901,1534,2714,4837850,54048,56,65446900,855593
208,8/7/2020,152793,1323,14925,9698,1892,51327,284956,31515200,421107,1549,2628,4898670,53042,56,66340800,893989
209,8/8/2020,153879,1086,15024,9662,1494,50071,286450,31857400,342265,1561,2566,4952200,53529,56,67126500,785706
210,8/9/2020,154500,621,15081,9307,862,48997,287312,32240400,382995,1578,2507,5002970,50766,56,67919600,793017
211,8/10/2020,154930,430,15158,9209,1554,48751,288866,32583300,342902,1592,2529,5044340,53339,56,68688900,769384
212,8/11/2020,156250,1320,15331,9135,2624,48600,291490,32924500,341151,1612,2422,5099270,54935,56,69524700,835788
