date,h1
2/26/20,2
2/27/20,1
2/28/20,2
2/29/20,1
3/1/20,3
3/2/20,3
3/3/20,3
3/4/20,2
3/5/20,4
3/6/20,6
3/7/20,1
3/8/20,4
3/9/20,4
3/10/20,2
3/11/20,6
3/12/20,8
3/13/20,5
3/14/20,8
3/15/20,15
3/16/20,21
3/17/20,24
3/18/20,28
3/19/20,51
3/20/20,70
3/21/20,62
3/22/20,145
3/23/20,101
3/24/20,236
3/25/20,241
3/26/20,313
3/27/20,410
3/28/20,551
3/29/20,505
3/30/20,585
3/31/20,908
4/1/20,1006
4/2/20,1175
4/3/20,1300.238394
4/4/20,1293.344758
4/5/20,1353.916694
4/6/20,1387.773972
4/7/20,1543.288177
4/8/20,2018.756753
4/9/20,2137.940077
4/10/20,2104.261582
4/11/20,2125.700857
4/12/20,2044.460336
4/13/20,1857.682376
4/14/20,2078.910972
4/15/20,2583.666638
4/16/20,2605.39846
4/17/20,2387.565533
4/18/20,2293.278719
4/19/20,1871.951436
4/20/20,1867.440984
4/21/20,2426.447276
4/22/20,2307.894283
4/23/20,2236.11885
4/24/20,2117.240368
4/25/20,2098.032055
4/26/20,1624.590058
4/27/20,1485.441857
4/28/20,1945.616566
4/29/20,2093.674379
4/30/20,2623.649506
5/1/20,2264.27419
5/2/20,1761.257645
5/3/20,1410.856434
5/4/20,1454.838539
5/5/20,1945.108464
5/6/20,2678.673739
5/7/20,2236.053506
5/8/20,2283.678986
5/9/20,1823.946728
5/10/20,1194.362391
5/11/20,1201.267912
5/12/20,1703.027171
5/13/20,2177.977027
5/14/20,1733.434748
5/15/20,1945.487757
5/16/20,1351.766347
5/17/20,752.2409505
5/18/20,940.5305594
5/19/20,1417.39718
5/20/20,1608.808217
5/21/20,1516.563271
5/22/20,1445.095759
5/23/20,976.3989619
5/24/20,776.9434233
5/25/20,714.6428267
5/26/20,1154.835182
5/27/20,1067.900575
5/28/20,1405.54851
5/29/20,1060.662888
5/30/20,884.2587031
5/31/20,668.6607286
6/1/20,337.7634495
6/2/20,1193.417641
6/3/20,1095.562353
6/4/20,1241.317759
6/5/20,712.7592779
6/6/20,724.2818175
6/7/20,544.9511628
6/8/20,472.7557611
6/9/20,1160.165118
6/10/20,855.7933703
6/11/20,874.0556742
6/12/20,691.1396402
6/13/20,674.6172206
6/14/20,489.8290372
6/15/20,371.9723104
6/16/20,816.9051407
6/17/20,750.1950054
6/18/20,795.5305276
6/19/20,561.2668008
6/20/20,423.7199115
6/21/20,379.154039
6/22/20,245.1889345
6/23/20,595.9894806
6/24/20,793.9407552
6/25/20,654.2103124
6/26/20,483.4858764
6/27/20,479.9972003
6/28/20,322.6573043
6/29/20,211.6391884
6/30/20,679.9078756
7/1/20,676.2000665
7/2/20,538.1579524
7/3/20,582.4053794
7/4/20,475.3462109
7/5/20,98.01672485
7/6/20,201.4672652
7/7/20,627.0063809
7/8/20,768.6323916
7/9/20,745.5883547
